model,``,our,analysis,shows,that,modern,humans,had,already,interbred,with,neanderthals,then,and,we,can,determine,when,that,first,happened,much,more,precisely,than,we,could,before,.
dna,-1,-1,0.6279804068184603,0.5140677615493312,-1,0.2832451466661845,0.3733377689758246,-1,0.1634817034217062,-0.17038428772539738,-1,0.2048933799724838,0.246828854403227,-1,-1,-1,0.3600726482300409,-1,-1,-1,0.2747764027582751,0.20649919276179607,-1,0.2387705577181698,-1,-1,-1,-1,-1
analysis,-1,-1,1.0,0.6886032920079064,-1,0.3303036829309949,0.32966936708788164,-1,0.19722184922663766,-0.2786712269678917,-1,0.06258787685402989,0.2823222361751695,-1,-1,-1,0.34993554333827626,-1,-1,-1,0.2948760896641054,0.3462612018540834,-1,0.23541631091645698,-1,-1,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,000-year-old,-1,-1,-0.4204670547607434,-0.5227850706928756,-1,-0.38759166249562926,-0.5097953190740547,-1,-0.5967181644366704,0.248406706447577,-1,-0.21602100819349945,-0.6200559285742591,-1,-1,-1,-0.41048714745262127,-1,-1,-1,-0.48608355416794957,-0.48866995310808914,-1,-0.3983109165028942,-1,-1,-1,-1,-1
human,-1,-1,0.22307389300028957,0.37320695303069296,-1,0.4274079134070208,0.36468159665665434,-1,0.2904418919377413,-0.1911270599596231,-1,0.1225071522222958,0.22809770350789738,-1,-1,-1,0.2793080203295065,-1,-1,-1,0.2508939232468439,0.3437541956637924,-1,0.203279420688662,-1,-1,-1,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
helped,-1,-1,0.24569488781334659,0.42199366647707914,-1,0.18110016762297165,0.2746604870196223,-1,0.5299644968877301,-0.19261276451505216,-1,-0.0498789333801799,0.6134917713147904,-1,-1,-1,0.33446187616461054,-1,-1,-1,0.29896835225059015,0.44336545564140684,-1,0.11090921629183903,-1,-1,-1,-1,-1
scientists,-1,-1,0.4744631198803261,0.5578431076499885,-1,0.43745203670682875,0.5883245176963328,-1,0.4950902991900745,-0.08881957975764698,-1,0.2810930348789882,0.4206920297406387,-1,-1,-1,0.4807915890262383,-1,-1,-1,0.3857920499505938,0.39957156156942086,-1,0.3810899638617474,-1,-1,-1,-1,-1
pinpoint,-1,-1,0.1038549214618848,0.07144230859660694,-1,0.1800516306387855,0.3094797015980848,-1,-0.08635393869255026,-0.0272772959660752,-1,0.152673679728763,0.22442917660985795,-1,-1,-1,0.39326083411463253,-1,-1,-1,0.22728893046358878,0.14826376841340227,-1,0.3763834514509934,-1,-1,-1,-1,-1
when,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
our,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ancestors,-1,-1,0.1397030513177948,0.19237556678018441,-1,0.3544995179610577,0.3530375850044871,-1,0.11264660113318647,0.2890923448357796,-1,0.3792019453179335,0.08266441233000466,-1,-1,-1,0.1769646868069903,-1,-1,-1,0.08028271951852362,0.11828020104313863,-1,0.18395975901413875,-1,-1,-1,-1,-1
interbred,-1,-1,-0.2786712269678917,-0.3350993775776696,-1,0.024834248833319084,0.09627811286667232,-1,-0.2562018112062532,1.0,-1,0.5043020308985615,-0.3302227365239472,-1,-1,-1,-0.2475874999190688,-1,-1,-1,-0.30891899083388275,-0.29739017386858646,-1,-0.1616085995630001,-1,-1,-1,-1,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
neanderthals,-1,-1,0.06258787685402989,0.03510064807969426,-1,0.42348398006324794,0.6266139158500166,-1,-0.051096612548984455,0.5043020308985615,-1,1.0,0.029632513795222692,-1,-1,-1,0.007529630944457577,-1,-1,-1,0.03302229891392472,-0.0013732262593053601,-1,0.1969425284619002,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
