model,'',prof,paabo,and,his,team,published,research,in,2010,that,showed,that,all,non-african,humans,today,have,neanderthal,dna,.
dna,-1,0.21240351220609432,-0.2833940560810173,-1,-1,0.29177592971950506,0.47683760724361623,0.4381106302454705,-1,0.20725359363501228,-1,0.5427254532761538,-1,0.25034026634891504,-0.27228876385501843,0.3733377689758246,0.2409417612603889,-1,0.48865973504444915,1.0,-1
analysis,-1,0.5484119208784207,-0.0568585250685425,-1,-1,0.3448148758850489,0.6423202726163575,0.676262374461391,-1,0.2571383878940665,-1,0.6355047415107071,-1,0.26787545019213865,-0.36142290202778393,0.32966936708788164,0.4626715333360548,-1,0.213624464452415,0.6279804068184603,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,000-year-old,-1,-0.3301297867635338,0.37324527311528066,-1,-1,-0.5062692927327075,-0.4322247743649985,-0.4270212681935379,-1,-0.511973621517676,-1,-0.4723704356446874,-1,-0.6046267687580771,0.5923890922022836,-0.5097953190740547,-0.5657987864362619,-1,0.13356136887889036,-0.32823012441935884,-1
human,-1,0.13322148563329173,-0.29948010085094756,-1,-1,0.31005085827624057,0.2754389594088129,0.37385600603230285,-1,0.2194633914066102,-1,0.38343832019086066,-1,0.3414139741710751,-0.2688812089432353,0.36468159665665434,0.2632345255910741,-1,0.1916585141551237,0.32527364194947417,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
helped,-1,0.21844598102287005,-0.31293732150764075,-1,-1,0.5396897284579026,0.22411596861111494,0.3533044556158047,-1,0.4367238065575342,-1,0.4843688500504496,-1,0.39877741906399056,-0.3696935338110898,0.2746604870196223,0.3955179548345098,-1,-0.29531312532006204,0.2067219138434303,-1
scientists,-1,0.5010710366134502,-0.1796042501849895,-1,-1,0.5002633612521408,0.4604650410184944,0.6486975040905025,-1,0.21220559051485255,-1,0.4935181380095366,-1,0.3348834896552473,-0.29610062330013265,0.5883245176963328,0.38566656829205814,-1,0.1842938784533662,0.44643210498575214,-1
pinpoint,-1,-0.016379074535723737,-0.20407275729705354,-1,-1,-0.006149143956614589,-0.1344779496243369,0.016299269645705605,-1,-0.1018089005924605,-1,0.022529822434779967,-1,0.09091579139888306,-0.06401696977168192,0.3094797015980848,-0.03493247594291371,-1,0.12711687510497205,0.22066589886895382,-1
when,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
our,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ancestors,-1,0.036635033536918216,-0.054839447547219144,-1,-1,0.2417813555314723,0.12120746303779273,0.1948469145652022,-1,0.023321440627951606,-1,0.19890992094000215,-1,0.2810737645384489,-0.07298966094291215,0.3530375850044871,0.1275319746576553,-1,0.37841793318481876,0.34172070037499447,-1
interbred,-1,-0.14523261734941384,0.34961724886049694,-1,-1,-0.16148410573632233,-0.4082132045191016,-0.2141049838004907,-1,-0.33731797291759147,-1,-0.3468856561412883,-1,-0.20896838943674378,0.405929235482259,0.09627811286667232,-0.36259097113081307,-1,0.03431168590802858,-0.17038428772539738,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
neanderthals,-1,0.0415634053920203,0.09577921165299852,-1,-1,-0.0849380331083629,0.001973581624667098,-0.014373464656614487,-1,0.06928636448006276,-1,0.012608790258842095,-1,0.0279766205341776,0.015539123508597541,0.6266139158500166,-0.024330347530819862,-1,0.2560338859607585,0.2048933799724838,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
