model,but,that,genetic,material,has,been,broken,into,much,smaller,chunks,over,the,generations,.
dna,-1,-1,0.6183357831320831,0.5371459459517739,-1,-1,0.22583621436190082,-1,0.20649919276179607,0.21791609355625885,0.14227927980743293,-1,-1,0.15957760115593678,-1
analysis,-1,-1,0.53421779171413,0.4697715600921353,-1,-1,0.1414469185871131,-1,0.3462612018540834,0.2677512717984605,0.05793517425366401,-1,-1,0.14748086708548636,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,000-year-old,-1,-1,-0.3010971943875633,-0.4480958097566572,-1,-1,-0.41362818405420376,-1,-0.48866995310808914,-0.5347901353293749,-0.10088162207232498,-1,-1,-0.428118572685934,-1
human,-1,-1,0.3512722698444688,0.38386795120770056,-1,-1,0.3317204511376217,-1,0.3437541956637924,0.3389473294015114,0.06847634363424693,-1,-1,0.16449483386167385,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
helped,-1,-1,0.036463322362637385,0.22530974443065677,-1,-1,0.3222148266032634,-1,0.44336545564140684,0.39809176887655295,0.14147967410225204,-1,-1,0.2807374535935403,-1
scientists,-1,-1,0.37463776981051766,0.375419441330872,-1,-1,0.1855260039643526,-1,0.39957156156942086,0.5098154900914775,0.028067142683363522,-1,-1,0.2832154386821555,-1
pinpoint,-1,-1,0.2759161036408151,0.23123160676590881,-1,-1,0.02360361541891076,-1,0.14826376841340227,0.11106999675570772,0.11158380895656517,-1,-1,0.09489310245613969,-1
when,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
our,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ancestors,-1,-1,0.29332251839997114,0.13414836476959124,-1,-1,0.23012209228735925,-1,0.11828020104313863,0.181848517554685,0.1726542832762239,-1,-1,0.39582171527825083,-1
interbred,-1,-1,-0.09574712226307525,-0.30232317864485125,-1,-1,-0.18962542981991692,-1,-0.29739017386858646,-0.20341524814002487,-0.014690108336586905,-1,-1,0.005864678540006496,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
neanderthals,-1,-1,0.14024495559022165,0.09849345694557265,-1,-1,-0.07543382432589296,-1,-0.0013732262593053601,0.12437504477927841,0.023290539430468216,-1,-1,0.23491811016973618,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
