model,from,this,sequence,the,scientist,has,been,able,to,decipher,an,increasingly,detailed,story,of,modern,humans,as,they,spread,across,the,globe,.
dna,-1,-1,0.468178080947093,-1,0.20234134725372122,-1,-1,0.32363680384560056,-1,0.015309665047877452,-1,0.0527327804732215,0.43171579331343635,0.367532230006836,-1,0.2832451466661845,0.3733377689758246,-1,-1,0.3529887163954706,0.1881881835065864,-1,0.18498336081834554,-1
analysis,-1,-1,0.3112351344688631,-1,0.5066238210641492,-1,-1,0.2660231274494349,-1,-0.07186134065602046,-1,0.1579475597551816,0.6789101342864916,0.41471825066416024,-1,0.3303036829309949,0.32966936708788164,-1,-1,0.3132054673798621,0.27346401526194486,-1,0.1485951631205341,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,000-year-old,-1,-1,-0.2993123428200728,-1,-0.3244717706299376,-1,-1,-0.5702205138184957,-1,0.022201306295908996,-1,-0.3738047687614876,-0.3531108746881686,-0.3645940493395985,-1,-0.38759166249562926,-0.5097953190740547,-1,-1,-0.5492826762962477,-0.5132177633651573,-1,-0.3873568771000584,-1
human,-1,-1,0.16921112359157298,-1,0.19792533756121977,-1,-1,0.2882855709214516,-1,-0.06292134178447695,-1,0.23891677956679114,0.1647398804606417,0.2174361984839559,-1,0.4274079134070208,0.36468159665665434,-1,-1,0.289039758798616,0.23229011480712225,-1,0.10680685057433037,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
helped,-1,-1,0.0970570302006788,-1,0.2214210505640557,-1,-1,0.6125132178398289,-1,-0.07902074384466484,-1,0.2157934299141664,0.23813737492372988,0.2556120020785726,-1,0.18110016762297165,0.2746604870196223,-1,-1,0.4128021432393143,0.390863751321043,-1,0.16707687541268057,-1
scientists,-1,-1,0.15760016176482117,-1,0.5136970674807849,-1,-1,0.5199987388865375,-1,0.08634327614583048,-1,0.3481630146461654,0.35115281075892524,0.3254808777593332,-1,0.43745203670682875,0.5883245176963328,-1,-1,0.4040008014583969,0.3177747097696014,-1,0.1634552662942439,-1
pinpoint,-1,-1,0.09054172961070694,-1,0.06915382644657009,-1,-1,0.24489177936090134,-1,0.3441688527879331,-1,0.15503555731989305,0.13262346846269946,0.12454347262878507,-1,0.1800516306387855,0.3094797015980848,-1,-1,0.3112249243324938,0.08224156423000939,-1,0.07347749820135496,-1
when,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
our,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ancestors,-1,-1,0.3022582425517374,-1,0.09408487313539116,-1,-1,0.18826850454541066,-1,0.19572009458381723,-1,0.1428738870348576,0.08286407275653096,0.13658381141985076,-1,0.3544995179610577,0.3530375850044871,-1,-1,0.19130801735296843,0.17889510278339338,-1,0.19135265944987223,-1
interbred,-1,-1,-0.1334092009414547,-1,-0.12426021767290707,-1,-1,-0.26776100196533714,-1,0.11172759956753131,-1,-0.05856236142282656,-0.25447490639916737,-0.2789908580957241,-1,0.024834248833319084,0.09627811286667232,-1,-1,-0.1807092207401917,-0.22975402489310892,-1,-0.14374523492427715,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
neanderthals,-1,-1,0.17119080522617824,-1,-0.06490535156843813,-1,-1,-0.0031526114078888057,-1,0.2210479025985702,-1,0.10753847817591988,-0.04564590362456222,-0.006319062053674829,-1,0.42348398006324794,0.6266139158500166,-1,-1,0.20435163207259355,0.060864518271293244,-1,0.17237760251066292,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
