model,a,spokesperson,said,he,was,``,fulfilling,his,responsibilities,as,deputy,first,minister,working,with,his,departmental,political,advisers,'',.
deputy,-1,0.5325588450463338,-1,-1,-1,-1,0.0024451930131822452,-1,0.20771225569034313,-1,1.0,-1,0.7817247682582449,0.2751611961742775,-1,-1,0.13608446090378568,0.3466930625372051,0.365129422759086,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
minister,-1,0.45842824485302835,-1,-1,-1,-1,-0.042265306339819064,-1,0.14463629539287348,-1,0.7817247682582449,-1,1.0,0.3282736775945799,-1,-1,0.11501260946183978,0.2897008365837941,0.24112713469396296,-1,-1
martin,-1,0.4477710897078315,-1,-1,-1,-1,-0.10989640332581319,-1,0.011669202984677218,-1,0.6613555638469605,-1,0.5994590913517094,0.2748355900816739,-1,-1,-0.1923667337903645,0.1857999462922384,0.10001452831898927,-1,-1
mcguinness,-1,0.41902456797538656,-1,-1,-1,-1,-0.04530539848219073,-1,0.04330132717481816,-1,0.732887300687593,-1,0.6656265363831684,0.17095025898526106,-1,-1,-0.046189637353094115,0.1989925326294545,0.19776180667038878,-1,-1
pulled,-1,0.15274543396290508,-1,-1,-1,-1,0.12925473995672654,-1,0.14970697177789272,-1,0.2930485616988101,-1,0.2740244154614765,0.3283375755939002,-1,-1,-0.09539749949573029,0.22695302848247767,0.17719477021261754,-1,-1
out,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trip,-1,0.13101835442779275,-1,-1,-1,-1,0.17544121229551668,-1,0.22425316783214966,-1,0.26076636620303895,-1,0.3037914772358006,0.3335593702041988,-1,-1,0.08984424996561846,0.21398179893422453,0.19655084475004891,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
china,-1,0.21742033680586503,-1,-1,-1,-1,0.07864659304527333,-1,0.11070673309810153,-1,0.2880844506003961,-1,0.357942448073433,0.359553171441368,-1,-1,0.049511119740923926,0.2908834236593758,0.2486051637614165,-1,-1
this,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,-1,0.36078439481768865,-1,-1,-1,-1,0.051980172834641625,-1,0.19087194189131673,-1,0.4619631593319883,-1,0.47829859018518506,0.5506102681418044,-1,-1,0.08607241659694576,0.30803065392886886,0.23602658763209072,-1,-1
due,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
medical,-1,0.46107422115195096,-1,-1,-1,-1,0.028511682818795125,-1,0.33534201742313974,-1,0.35688512869696876,-1,0.31324512054628406,0.45197470584400545,-1,-1,0.1296577852419526,0.2904779706426539,0.4570548145405179,-1,-1
advice,-1,0.39351093207665255,-1,-1,-1,-1,0.22891859468217934,-1,0.45930560489751304,-1,0.2594674183316674,-1,0.32627963786482095,0.4689602195656466,-1,-1,0.19814512147250063,0.34293370045345495,0.5014135000056974,-1,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
revealed,-1,0.4391647288315864,-1,-1,-1,-1,0.16662071380914933,-1,0.2323221245023137,-1,0.45334771398148754,-1,0.4188274276487004,0.3763459868884238,-1,-1,0.04983646006970255,0.28497836177830793,0.33651849410697254,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
