model,sinn,fein,leader,gerry,adams,said,:,``,i,'m,sure,everybody,who,values,his,work,will,send,best,wishes,to,martin,bernie,and,their,family,.
deputy,0.6670009340566031,0.40686652842219106,0.6609986026656449,0.5620655907037324,0.6295792835161781,-1,-1,-1,-1,-1,0.22994318111334144,0.088332672227875,-1,0.2674513527189192,-1,-1,-1,0.19884061706866363,0.34425151802289755,0.2346567516539605,-1,0.6613555638469605,0.30630741332006695,-1,-1,0.42748604016378455,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
minister,0.44814405078217867,0.18747728634742733,0.41808144772080236,0.33345497506358224,0.494685128549472,-1,-1,-1,-1,-1,0.3312060521198781,0.2113605257355572,-1,0.17655382680348497,-1,-1,-1,0.30137746830245016,0.25963452187048897,0.16456898631460937,-1,0.5994590913517094,0.14348989053048145,-1,-1,0.39244308284458485,-1
martin,0.46920512880596177,0.12453653916375917,0.5271414302757026,0.3412181799681868,0.6574757906773545,-1,-1,-1,-1,-1,0.32079234959710434,0.29210626575955834,-1,0.021668625226491045,-1,-1,-1,0.17044650767104275,0.24105459975695032,0.16178358832182949,-1,1.0,0.23102960510563753,-1,-1,0.38707690556379226,-1
mcguinness,0.6722000313247074,0.3788649496897587,0.529549781991021,0.38712879944081036,0.7249705352101642,-1,-1,-1,-1,-1,0.1550082781991302,0.19971796312533874,-1,0.07441328030952798,-1,-1,-1,0.11405827672073665,0.1632630745791922,0.1721490627776544,-1,0.8357927829216921,0.40212319774833527,-1,-1,0.36014394644163983,-1
pulled,0.21006489245435034,-0.009340201190231046,0.291367126415617,0.05459483015693478,0.31577408255981687,-1,-1,-1,-1,-1,0.4108456743843334,0.3805107651034889,-1,0.14032926537237922,-1,-1,-1,0.5397286251542044,0.3632126243694236,0.26075752568062593,-1,0.39796029280414125,0.037003083683997184,-1,-1,0.4369794018613251,-1
out,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trip,0.09474295403553357,-0.09353126646119003,0.07894744688308752,-0.0051201140876449,0.18674639026545148,-1,-1,-1,-1,-1,0.3313073970802062,0.2489741609336218,-1,0.09963258258917063,-1,-1,-1,0.38434115204775954,0.32335900719789945,0.2667490865283346,-1,0.20589165880619542,-0.05407216284645355,-1,-1,0.4657136665782394,-1
