model,the,visitors,fought,back,to,lead,21-17,after,counter-attacking,scores,from,williams,and,sion,bennett,.
leinster,-1,0.3269388158358729,0.3617054863581143,-1,-1,0.36780279538620597,-0.00544392260512816,-1,0.11315987674824146,0.4142403003093189,-1,0.45381255303946233,-1,-0.17416763926906986,0.6038387599000794,-1
resisted,-1,0.250126542204516,0.27430624634723033,-1,-1,0.042390248207940906,-0.022265725769101463,-1,-0.06255035087042415,0.26069223686885457,-1,0.12452225592631594,-1,0.006587908373594131,0.18116760008166266,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
spirited,-1,0.181759608116438,0.22094986536619587,-1,-1,0.315106326197683,0.2943852992797459,-1,0.5323752676507694,0.302480783850107,-1,-0.03768598024311043,-1,0.031685254384459904,-0.05622878386157737,-1
cardiff,-1,0.4112703225025707,0.3286250678128422,-1,-1,0.3718809178027682,-0.15627858920870552,-1,-0.022220064039396803,0.3793577588959094,-1,0.4339538513191281,-1,0.031462477328727534,0.4172232209445489,-1
blues,-1,0.43788774485451176,0.37973774033465046,-1,-1,0.40414297408969124,-0.11514425713616516,-1,0.030869800071884113,0.4369714852050387,-1,0.5471126908725252,-1,0.19387977956892877,0.4195865920487638,-1
revival,-1,0.19457287677087454,0.18435735748863025,-1,-1,0.33057649141332013,0.10954421400235459,-1,0.5500993502780348,0.3903288834053682,-1,0.023540761237950014,-1,-0.058888322469360155,0.04776397012660616,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strengthen,-1,0.30367883743433577,0.338667637147968,-1,-1,0.32726241149748136,-0.005402127275324409,-1,0.2403693629352336,0.24689155829943732,-1,0.13455440119695838,-1,0.01576786586168777,0.08866769187319146,-1
their,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
position,-1,0.37681799410384165,0.40968478780258744,-1,-1,0.4218508930136591,-0.028315260915813267,-1,0.2661116250690305,0.4723739510872591,-1,0.26178876567831344,-1,-0.04418041382155824,0.16259040786591872,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
top,-1,0.39865153009438004,0.2326053177369306,-1,-1,0.3350911601609743,-0.10927999719162207,-1,0.0997689545330771,0.5696808912815391,-1,0.29099446393992534,-1,-0.045098046203730924,0.1644532628216947,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pro12,-1,0.2632841205092704,0.31785345217969296,-1,-1,0.2894954325011587,0.2935404123332477,-1,0.24550835865125986,0.37509819065028727,-1,0.22725375115676671,-1,-0.09458656300880164,0.17488575902916292,-1
table,-1,0.3728298071806818,0.3033395723206478,-1,-1,0.3092448305109168,0.08224235027340843,-1,0.09803869891014394,0.5136050930905602,-1,0.27367773395024286,-1,-0.010425319855482451,0.09145721495462422,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
