model,the,visitors,fought,back,in,spectacular,fashion,with,williams,finishing,after,a,fine,run,from,hooker,kristian,dacey,before,replacement,back-rower,bennett,showed,a,similarly,impressive,turn,of,pace,to,run,in,from,40,yards,and,put,the,blues,21-17,ahead,.
leinster,-1,0.3269388158358729,0.3617054863581143,-1,-1,0.14949920752828916,0.14110972540657407,-1,0.45381255303946233,0.35415614861487055,-1,-1,0.3216761758081229,0.425300481359013,-1,0.4497110490544871,0.07320126650294523,0.154517412374496,-1,0.3742092055769255,0.19647156726563253,0.6038387599000794,0.2321065804875756,-1,0.06530004440552606,0.3264445559299276,0.29881616418598056,-1,0.2596850950130486,-1,0.425300481359013,-1,-1,0.35932293634076673,0.3417615678165158,-1,0.4106894734836184,-1,0.6272459760789431,-0.00544392260512816,0.4230683142491747,-1
resisted,-1,0.250126542204516,0.27430624634723033,-1,-1,0.16421302032391893,0.06879871656009562,-1,0.12452225592631594,0.10824116086336433,-1,-1,0.22517983172218914,0.1659127742859745,-1,0.0801808919696787,-0.07293570286990558,-0.06710423425064138,-1,0.12913197552839029,0.17525623820546987,0.18116760008166266,0.21130149604560156,-1,0.4185312220958399,0.2731628881808993,0.13539570766361153,-1,0.07448081973522358,-1,0.1659127742859745,-1,-1,0.11041837328290383,0.10061899226668225,-1,0.21467505480403382,-1,-0.0030110733113997146,-0.022265725769101463,0.1373189093509951,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
spirited,-1,0.181759608116438,0.22094986536619587,-1,-1,0.5267956676845098,0.21072430933441633,-1,-0.03768598024311043,0.17626497276342235,-1,-1,0.3255778723511322,0.3091019175909693,-1,0.06283673893169583,-0.08713549104165352,-0.10010621556106036,-1,0.24816715743795803,-0.05284585652558316,-0.05622878386157737,0.16664000343875318,-1,0.41085372734966064,0.5303360445995229,0.10999951392531404,-1,0.26847256777164263,-1,0.3091019175909693,-1,-1,-0.16013233423593776,0.03187256382305681,-1,0.21432099495424495,-1,0.10655479640768994,0.2943852992797459,0.1191039083617561,-1
cardiff,-1,0.4112703225025707,0.3286250678128422,-1,-1,0.09586778311977961,0.1025394151280491,-1,0.4339538513191281,0.2920009450009544,-1,-1,0.34992001252378946,0.504739215557498,-1,0.39535828765648384,-0.06583422260980965,0.004347879045229708,-1,0.31456582312632575,0.29819460750905546,0.4172232209445489,0.27951754933468265,-1,0.1384585446892561,0.29808915932589075,0.32897127631302614,-1,0.22691752235358686,-1,0.504739215557498,-1,-1,0.38069336564695344,0.3176556892916318,-1,0.4832491481704069,-1,0.6913387059583318,-0.15627858920870552,0.49697638930081856,-1
blues,-1,0.43788774485451176,0.37973774033465046,-1,-1,0.10688279282716806,0.059277731346687124,-1,0.5471126908725252,0.3829459485270372,-1,-1,0.4209788128941905,0.44559187213752416,-1,0.4850052313408355,-0.25531488258990653,-0.2392039191750941,-1,0.3600362016967019,0.286099213138193,0.4195865920487638,0.30578190097661595,-1,0.08048238013461229,0.33309193136290727,0.2915060809802461,-1,0.2474848809380381,-1,0.44559187213752416,-1,-1,0.3665886799622975,0.5509156078942711,-1,0.4745212349588067,-1,1.0,-0.11514425713616516,0.4496083441586487,-1
revival,-1,0.19457287677087454,0.18435735748863025,-1,-1,0.6319981566378092,0.46328332700020514,-1,0.023540761237950014,0.3045349816035967,-1,-1,0.3360848054288744,0.3725673457676548,-1,0.12308245869589995,-0.05245658476122972,0.03971517975700445,-1,0.28643019257893165,-0.06570228215335372,0.04776397012660616,0.3285649942928526,-1,0.3785399740985519,0.5444584180708956,0.1981316057013196,-1,0.40796988043149496,-1,0.3725673457676548,-1,-1,0.025794897556614682,0.014385369912192636,-1,0.21602334077697205,-1,0.14630105944070504,0.10954421400235459,0.2511415287339448,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strengthen,-1,0.30367883743433577,0.338667637147968,-1,-1,0.20236219246819287,0.07299935433893379,-1,0.13455440119695838,0.22855357377354402,-1,-1,0.3180745584768647,0.46166839004445337,-1,0.17531141240735826,-0.22836357208228208,-0.13890297290778197,-1,0.30767130753915595,0.08469215200366687,0.08866769187319146,0.26975398954455165,-1,0.19649752844521928,0.21150266497417325,0.4230671736444602,-1,0.35790706735175903,-1,0.46166839004445337,-1,-1,0.11020777561634132,0.0639288997045464,-1,0.4689400152784484,-1,0.2512840377059181,-0.005402127275324409,0.36737372807693036,-1
their,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
position,-1,0.37681799410384165,0.40968478780258744,-1,-1,0.38383592000397115,0.3157004875761973,-1,0.26178876567831344,0.4975580378660338,-1,-1,0.5334478030897238,0.5939381673227068,-1,0.1255344685105514,-0.3037328512825992,-0.100979863750297,-1,0.3218420474875068,-0.1299259726085582,0.16259040786591872,0.38727712160577976,-1,0.371956224088127,0.4848524466706927,0.5524568555722996,-1,0.4830183685650824,-1,0.5939381673227068,-1,-1,0.3147472206159493,0.2223342515931831,-1,0.6529643136135428,-1,0.3441127882238679,-0.028315260915813267,0.5318940698138768,-1
