model,but,ross,molony,plunged,over,from,close,to,give,leinster,a,seventh,successive,league,win,.
leinster,-1,0.6802448350737799,-0.0418682160088788,0.1523968795889621,-1,-1,0.3294546074545588,-1,0.26704937411488006,1.0,-1,0.4516791648527885,0.3716371970517911,0.5717088947103707,0.5536104195870739,-1
resisted,-1,0.07231884818000789,-0.08188741237643127,0.1647314515916144,-1,-1,0.11181762499232029,-1,0.13046492339219562,0.10788724659010251,-1,0.002977597610508309,0.14392698500979195,0.039933490077977085,0.05856919962743545,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
spirited,-1,-0.00022710024144712015,-0.17789390964440566,0.040570881571802,-1,-1,0.09925292950585973,-1,0.14426204600355952,0.21136225615526727,-1,0.16660886941784958,0.2016534283459368,0.1355418250905106,0.2914724864813649,-1
cardiff,-1,0.5440366615621834,-0.07460697736572452,0.13001758963041976,-1,-1,0.4253026769651549,-1,0.34911894768531737,0.573042685294049,-1,0.39990704583943226,0.23390140563014283,0.5346320077590297,0.49301317052315063,-1
blues,-1,0.5912916174710333,-0.0796348089232839,0.10678367476091688,-1,-1,0.35511303360151414,-1,0.32715644819051204,0.6272459760789431,-1,0.4715021447670358,0.3359721646445475,0.612838246399496,0.5384023505674753,-1
revival,-1,0.017703547442725398,-0.19296468138814538,0.09329495243650465,-1,-1,0.1675852198331036,-1,0.14719711284949166,0.26685549612199266,-1,0.34762321906869065,0.24877363700302002,0.2231591939981059,0.2726484498997308,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strengthen,-1,0.11915606287756275,-0.3246483396481026,0.16869115218342912,-1,-1,0.39364940821246375,-1,0.43858100262450095,0.27304045431824986,-1,0.29309900529722566,0.16121017019483364,0.31008794279662766,0.2974186572046087,-1
their,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
position,-1,0.16953964715026548,-0.3684676947900867,0.16614821274625025,-1,-1,0.46196125369740615,-1,0.4749640405194666,0.3313173140731893,-1,0.566478085115023,0.3783381029108721,0.476485634809247,0.5061277217505302,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
top,-1,0.23230533427640143,-0.2797139264830606,0.17783529657494535,-1,-1,0.5185385176755751,-1,0.35022433434539113,0.3831579182784782,-1,0.5740429283020589,0.43832197363948233,0.6169419574804803,0.44514243715827906,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pro12,-1,0.4019249713684826,-0.18027547918954845,0.03175003892829387,-1,-1,0.18950937518788324,-1,0.15265081309649697,0.6898170279877426,-1,0.6368765197354572,0.5939303180803663,0.7863072332863775,0.6526965975506542,-1
table,-1,0.229383392280181,-0.27047074952746586,0.19155221374235099,-1,-1,0.36683213233269196,-1,0.2599517679213674,0.38543331792978364,-1,0.7510713044607201,0.5962581485819525,0.6876911997964956,0.5092932763034816,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
