model,defeat,for,the,blues,meanwhile,sees,them,stay,in,eighth,place,.
leinster,0.6325866649986004,-1,-1,0.6272459760789431,0.4428586924591862,0.2437830838545395,-1,0.3309640663351574,-1,0.38465001791614495,0.33367637079724033,-1
resisted,0.08876725626653104,-1,-1,-0.0030110733113997146,0.27755360227919224,0.17215786758135343,-1,0.15442792701809382,-1,0.025781025509870825,-0.0632742713004315,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
spirited,0.4057104428806728,-1,-1,0.10655479640768994,-0.014819581070385945,0.01729962590585532,-1,0.1071324386873701,-1,0.0851353846472852,0.08105428965248784,-1
cardiff,0.49684253585190075,-1,-1,0.6913387059583318,0.5199511832157647,0.28582236117686355,-1,0.3756336836328036,-1,0.3477757514172175,0.4473259174327393,-1
blues,0.5296240022654178,-1,-1,1.0,0.45594438490329847,0.2459041038605121,-1,0.3372731830113652,-1,0.4121883447214598,0.3421309601452269,-1
revival,0.3468123002740777,-1,-1,0.14630105944070504,0.14849367761356036,0.24209803916719708,-1,0.12319774920244986,-1,0.2536813496285033,0.17739265633884838,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strengthen,0.2683292289228558,-1,-1,0.2512840377059181,0.3338222235109859,0.29404734515880804,-1,0.5091348141328981,-1,0.23001441226370822,0.3529592786202316,-1
their,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
position,0.4479195104631801,-1,-1,0.3441127882238679,0.3891907221281523,0.3842680355799233,-1,0.6237694178223684,-1,0.5123260930798257,0.5542827960300167,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
top,0.4114834448257978,-1,-1,0.43297582109359056,0.4230610638273078,0.33477666363475844,-1,0.49110154686590834,-1,0.5153934625349041,0.40085663175263164,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pro12,0.7287251226911855,-1,-1,0.5221456482464769,0.23913047374460195,0.2177635255979926,-1,0.31366408717046457,-1,0.5524302849955751,0.37896096047051764,-1
table,0.5112547455614187,-1,-1,0.44978322929969605,0.3184888573241704,0.30516179496696394,-1,0.5687155660959726,-1,0.712763344056486,0.5186434681342628,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
