model,their,lead,did,not,last,long,as,the,visitors,counter-attacked,at,pace,with,captain,blaine,scully,and,rey,lee-lo,offloading,sharply,before,williams,cantered,over,.
leinster,-1,0.36780279538620597,0.3350488613649478,-1,-1,0.3285694521618381,-1,-1,0.3269388158358729,-0.18817724035684003,-1,0.2596850950130486,-1,0.5662782058130839,-0.00880092544541533,0.10437394662235944,-1,0.1935637355211719,0.023967473878079737,-0.1781458633624533,0.09644301861344107,-1,0.45381255303946233,-0.22189674400324133,-1,-1
resisted,-1,0.042390248207940906,0.17470110035965092,-1,-1,0.23883245108414652,-1,-1,0.250126542204516,0.16289765332497252,-1,0.07448081973522358,-1,0.05562789667486712,-0.20206372557048335,-0.13339307488688879,-1,-0.24557118362018726,-0.38073241829555493,0.049980851178436425,0.47181247872380505,-1,0.12452225592631594,-0.12057711739735089,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
spirited,-1,0.315106326197683,0.0785469251393014,-1,-1,0.17143733772909542,-1,-1,0.181759608116438,0.16438837632569336,-1,0.26847256777164263,-1,0.004131321247130115,-0.30475592481146974,-0.20212012759677167,-1,0.021658457308088686,-0.1610931232362145,0.3287238110918792,0.07458478261959633,-1,-0.03768598024311043,-0.20329536192970954,-1,-1
cardiff,-1,0.3718809178027682,0.41516493779423014,-1,-1,0.37472502957546705,-1,-1,0.4112703225025707,-0.1531218149212734,-1,0.22691752235358686,-1,0.5722830097659283,-0.05031952993622113,0.14292973592973202,-1,0.03746130990294194,-0.07826920612149113,-0.19408579934151327,0.10375211764740733,-1,0.4339538513191281,-0.26937477801007503,-1,-1
blues,-1,0.40414297408969124,0.3793021473033803,-1,-1,0.3227095588122366,-1,-1,0.43788774485451176,-0.08906901182909155,-1,0.2474848809380381,-1,0.6683730087275842,-0.04205041107783303,0.16611906178058,-1,0.04544444243629964,0.05164287719081184,-0.16091637115975677,0.09580520176910667,-1,0.5471126908725252,-0.27094795128867455,-1,-1
revival,-1,0.33057649141332013,0.17959770496830552,-1,-1,0.22478082847675596,-1,-1,0.19457287677087454,-0.11217047778303768,-1,0.40796988043149496,-1,0.19215579904848135,-0.2715278084627495,-0.12992926054873544,-1,0.14896226209470087,-0.1457265093536022,0.33670864365409514,0.1907199990687699,-1,0.023540761237950014,-0.3699165148992791,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strengthen,-1,0.32726241149748136,0.38645096172782956,-1,-1,0.27687452663946666,-1,-1,0.30367883743433577,0.14236674511129999,-1,0.35790706735175903,-1,0.20679080790116844,-0.2752326305084969,-0.20502553155396197,-1,-0.048646591940452844,-0.23011763176160804,0.16736378036808486,0.14736718857539044,-1,0.13455440119695838,-0.12607227413356026,-1,-1
their,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
position,-1,0.4218508930136591,0.5457858643169688,-1,-1,0.5789268856918138,-1,-1,0.37681799410384165,-0.07338542598421571,-1,0.4830183685650824,-1,0.32550924209507626,-0.40964739347307066,-0.24094817879110053,-1,-0.17329542265502806,-0.39678565706876,0.05392427919755671,0.20228966182833952,-1,0.26178876567831344,-0.35615704697265826,-1,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
top,-1,0.3350911601609743,0.3732033326420545,-1,-1,0.4168399571332563,-1,-1,0.39865153009438004,-0.08782325577214922,-1,0.3325588765702223,-1,0.3573270186124833,-0.3739204801982208,-0.118772425101493,-1,-0.09444193186367422,-0.2210280812951657,-0.08889731666735856,0.19700576284313032,-1,0.29099446393992534,-0.3507252225124726,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pro12,-1,0.2894954325011587,0.1677823673554032,-1,-1,0.21045923699318225,-1,-1,0.2632841205092704,-0.08790619793182297,-1,0.20352663064456222,-1,0.3586500721875914,-0.18069487757569314,-0.04992408570183149,-1,0.43544708387262987,0.11053737626764581,0.09551052261913662,-0.044519485934872094,-1,0.22725375115676671,-0.1411001633194371,-1,-1
table,-1,0.3092448305109168,0.27377320394353677,-1,-1,0.3718660855868149,-1,-1,0.3728298071806818,0.07519334677202805,-1,0.3644766573589744,-1,0.2342376812508553,-0.2870288849348228,-0.12103208244602048,-1,0.05824569848953842,-0.09317863261336257,0.02268922077302926,0.13783568611877517,-1,0.27367773395024286,-0.3329498754082276,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
