model,the,blues,were,threatening,whenever,their,backs,got,their,hands,on,the,ball,but,their,pack,struggled,against,the,ballast,of,leinster,'s,forwards,whose,powerful,carries,paved,the,way,for,scrum-half,mcgrath,to,dive,through,a,crowd,of,bodies,and,touch,down,.
leinster,-1,0.6272459760789431,-1,0.2215341372158327,0.10981101225798406,-1,0.364891491811276,0.33498426024983186,-1,0.30967001935195704,-1,-1,0.34963798069528385,-1,-1,0.3693477580510114,0.3499419814597361,0.5471547830242305,-1,-0.16745471778508048,-1,1.0,-1,0.3936630853869507,0.25887731718989737,0.22521252689465077,0.12142547013317395,-0.001990895055265174,-1,0.25893355793270867,-1,0.4333649762298566,0.4954604538799261,-1,0.29615304449508173,0.2943189059211806,-1,0.24190290588207075,-1,0.2697480971850469,-1,0.2930914669935425,0.3047483234936248,-1
resisted,-1,-0.0030110733113997146,-1,0.209365765606916,0.20406658479324657,-1,0.11003670321162706,0.22180799497363712,-1,0.0573862930386807,-1,-1,0.12201037574420981,-1,-1,0.15573855837437012,0.40529705516589654,0.05726678434449828,-1,0.00564908384507512,-1,0.10788724659010251,-1,0.06611715059584677,-0.02736277529934994,0.21096733970179415,0.24705950432592194,0.1660748979460943,-1,0.11108213294567393,-1,0.07844781797153244,-0.04693010766553152,-1,0.1762906572858155,0.21578315406547044,-1,0.16625962267645877,-1,0.018204731779657646,-1,0.19070514634686087,0.1008150213560155,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
spirited,-1,0.10655479640768994,-1,0.2382295495969584,0.07328064969123094,-1,0.09402749584959147,0.1342207444200897,-1,0.17072992620954486,-1,-1,0.23297754159951367,-1,-1,0.36770680313218107,0.19464264051357738,0.28378707525198243,-1,0.05222270499330639,-1,0.21136225615526727,-1,0.07783661399211239,0.13304829928131356,0.35327943899514236,0.22092160571631236,0.10215404199550959,-1,0.11810913152090896,-1,0.07517950573241627,-0.0789120702537689,-1,0.4791517135059038,0.1782818481842614,-1,0.1640462127280079,-1,0.1605890057922792,-1,0.2590923252707167,0.1568717722289027,-1
cardiff,-1,0.6913387059583318,-1,0.1023837647465149,0.11419014652725745,-1,0.304564905493088,0.3559835262396235,-1,0.27963615643023076,-1,-1,0.301592911252333,-1,-1,0.28068166887556856,0.3817545957134889,0.4458516788898952,-1,-0.2630548528448118,-1,0.573042685294049,-1,0.3828288240458426,0.3066948305895859,0.13670642588978477,0.17979920826353402,0.03876877994946448,-1,0.38192632126749315,-1,0.41467684474089084,0.18996827627683555,-1,0.10974950955265128,0.4023299043708086,-1,0.36702190424538084,-1,0.21035907891146977,-1,0.1644436427868402,0.26567545895136835,-1
blues,-1,1.0,-1,0.1531228562147151,0.13493972832997114,-1,0.4155821618562787,0.3934623692759551,-1,0.2980452372726059,-1,-1,0.3799707359995603,-1,-1,0.4099529519034616,0.38083522092649735,0.4726635064659692,-1,-0.2187952734924581,-1,0.6272459760789431,-1,0.21226139074804018,0.3333032628086251,0.1951115459654974,0.10987821795821684,-0.016990061795923106,-1,0.334611341664369,-1,0.47912481529199624,0.4722657896415663,-1,0.20811572915725063,0.3495763755815048,-1,0.19392466624056615,-1,0.1783046851545873,-1,0.2936859598549886,0.33035263067958776,-1
revival,-1,0.14630105944070504,-1,0.15706287410451414,0.11050622903070106,-1,0.33402558246595104,0.22125130461726994,-1,0.25557323673422294,-1,-1,0.13379520552366964,-1,-1,0.28229641796008786,0.31763726334651265,0.23047887279044632,-1,0.013386456143952619,-1,0.26685549612199266,-1,0.32270855507149643,0.3412513001100219,0.35962467096213013,0.2687901170704736,0.1464270750017962,-1,0.22682749893594067,-1,0.07890730334661322,-0.04896479876559012,-1,0.3385469979599962,0.12596310916557352,-1,0.09265158460779965,-1,0.12669844367326555,-1,0.18718376707681628,0.09277103551565746,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strengthen,-1,0.2512840377059181,-1,0.2774863593699428,0.3428142917161716,-1,0.4532994056236922,0.32037757879804785,-1,0.4233070060384313,-1,-1,0.21018755679162426,-1,-1,0.42538124467871097,0.4380463515711528,0.3249143745437174,-1,0.11987584357653858,-1,0.27304045431824986,-1,0.2603244460074836,0.24803331142425,0.24740771033862308,0.2361455847306434,0.30181267190211936,-1,0.4683419639343339,-1,0.12482765784608674,-0.04024955988246037,-1,0.32955813825781743,0.3727201736423311,-1,0.15532029767959976,-1,0.24235457375370628,-1,0.36141427526954684,0.26256135629438515,-1
their,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
