model,hearing,partially,improved,when,nerves,in,the,ear,which,pass,sounds,into,the,brain,were,rebuilt,in,gerbils,-,a,uk,study,in,the,journal,nature,reports,.
uk,0.22369542179099466,0.15993425325330246,0.37697704747071537,-1,0.11811957397757233,-1,-1,0.05014586125302878,-1,0.3388798213431121,0.08976213838788027,-1,-1,0.23920649558690132,-1,0.08834736655090558,-1,-0.521400430242942,-1,-1,1.0,0.5149817690411814,-1,-1,0.17029960249620602,0.35238448519387555,0.39851910842503946,-1
researchers,0.32205576453174334,0.11298701753231277,0.30085114319132367,-1,0.15208739922113856,-1,-1,-0.033790332858011585,-1,0.19128094009177998,0.1882321851514286,-1,-1,0.3152699154306646,-1,0.09166627294170471,-1,-0.31616386598123714,-1,-1,0.38078472189353585,0.7571495367859383,-1,-1,0.3990444942773943,0.4600188553684841,0.4870637148136485,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
they,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
taken,0.4434621850591448,0.31543469073830255,0.3446445757520453,-1,0.3140842125557375,-1,-1,0.26006420738813185,-1,0.4100345694234925,0.14315088963651112,-1,-1,0.31671092271570245,-1,0.3322775278642638,-1,-0.4621063594854533,-1,-1,0.4359622983389493,0.477775308986915,-1,-1,0.17924094098222487,0.39166614693870205,0.4630185986688047,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
huge,0.25253362447436023,0.09312608315425064,0.3271562933561484,-1,0.3192435774836557,-1,-1,0.23168817229925875,-1,0.1895736294933561,0.2194634703793864,-1,-1,0.18888152252956958,-1,0.1246642888116326,-1,-0.561454997266361,-1,-1,0.30408555458155606,0.33906718394208046,-1,-1,0.12006602196155802,0.3447771947533995,0.2893645516984191,-1
step,0.3020380071556725,0.11514067095286673,0.24066729729258407,-1,0.28212988431663977,-1,-1,0.23785617376401813,-1,0.374279894516099,0.20239743606259675,-1,-1,0.06948046127986796,-1,0.1280469894291747,-1,-0.46788113463514813,-1,-1,0.33444472200058506,0.29466422835690875,-1,-1,-0.0009149657680240786,0.2588541573016885,0.1840914118681607,-1
forward,0.3156083975401278,0.05761016304656563,0.34218236612470054,-1,0.2628370377002479,-1,-1,0.18676708395960462,-1,0.46596522392930506,0.21147792671749177,-1,-1,0.1818734908788977,-1,0.1680246017677599,-1,-0.40170001412956324,-1,-1,0.3365211112728127,0.3554454216612841,-1,-1,-0.04216589897933942,0.24008768192732144,0.2815991980580368,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
treating,0.25428685098626747,0.29441269394176584,0.17217870045493877,-1,0.24590997539602577,-1,-1,0.12648403458475244,-1,0.2080569675725219,0.2862603451065313,-1,-1,0.2870419569917576,-1,0.26909584383078133,-1,-0.2800714118280474,-1,-1,0.230345001776057,0.3025240298070483,-1,-1,0.099803573399734,0.339632528825772,0.3017780008359644,-1
deafness,0.08993395119690373,-0.04759474757503024,-0.03756054651135421,-1,0.3324413239178369,-1,-1,0.14487340112710234,-1,-0.06685011739291591,0.06876526040182906,-1,-1,0.3073283726027295,-1,-0.060830735610584385,-1,-0.03636388234746146,-1,-1,-0.13379610135880404,-0.10220316828494691,-1,-1,-0.05885875634377724,0.1415217488249606,-0.02210922368832713,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stem,0.10803873892547877,0.1321062573306402,0.1598316934891818,-1,0.22118059350640162,-1,-1,0.3075207587774351,-1,0.2628213359389242,0.21180235796560787,-1,-1,0.4736753139826525,-1,0.2261111234940696,-1,-0.3214688863161741,-1,-1,0.19047869836631226,0.3325601688260137,-1,-1,0.14501837170611576,0.4145218338743313,0.12506098567187973,-1
cells,0.09045052697490752,0.2328622794369356,0.23380736872979302,-1,0.28851868246846135,-1,-1,0.30660525809030115,-1,0.33013325745332733,0.2627796087348394,-1,-1,0.6559260309910249,-1,0.2550268269820689,-1,-0.3488009502832199,-1,-1,0.21435682246373267,0.3445224949717801,-1,-1,0.18843764120802575,0.428961719641771,0.17037643979921024,-1
were,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
used,0.21820121657670943,0.23633751971177064,0.301462205102352,-1,0.2006585491514533,-1,-1,0.17185194009375937,-1,0.36089680015956227,0.26069171746095976,-1,-1,0.35866019021128726,-1,0.2813735131275912,-1,-0.47733561050355666,-1,-1,0.3348748966728323,0.46386674293137764,-1,-1,0.2212985529137993,0.4197620597196722,0.33945153691380736,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
restore,0.16135092342192392,0.1685066050426831,0.420407159226736,-1,0.2932622894694784,-1,-1,0.21201907348682703,-1,0.32820012084562045,0.005120748940755426,-1,-1,0.2660467238099593,-1,0.26089097419026697,-1,-0.35639898045516283,-1,-1,0.2620461444640503,0.16591594289251932,-1,-1,0.04203447289068574,0.2377968522938847,0.001977460055318625,-1
hearing,1.0,0.1408523618662052,0.1463892545556449,-1,0.2559625377020558,-1,-1,0.0655917110978308,-1,0.13994693721855223,0.2173607292881483,-1,-1,0.22402598622973446,-1,0.14575921671756187,-1,-0.28405321904063685,-1,-1,0.22369542179099466,0.44730659456187105,-1,-1,0.23306226261163676,0.3987773273930997,0.47192785084957234,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
animals,0.17541058929871622,0.2815463338798272,0.40169424940825715,-1,0.3742438930495602,-1,-1,0.243161425773727,-1,0.3904543732244259,0.4264247169678481,-1,-1,0.385969204549545,-1,0.32375171980285433,-1,-0.5879959708583686,-1,-1,0.4561179782260707,0.4926298247361276,-1,-1,0.22547521874734944,0.47842653487124265,0.3971965644993888,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
