model,getting,the,same,improvement,in,people,would,be,a,shift,from,being,unable,to,hear,traffic,to,hearing,a,conversation,.
uk,0.3719174017680653,-1,0.47277249388859865,0.4504557241769719,-1,0.49193770194947195,-1,-1,-1,0.3466328540651026,-1,-1,0.38354323232610543,-1,0.2504955285173974,0.32402871601702943,-1,0.22369542179099466,-1,0.2583227236183603,-1
researchers,0.2740482720161779,-1,0.3962183974664071,0.2677695347330604,-1,0.3569333962453183,-1,-1,-1,0.1835767272408213,-1,-1,0.3141028208824208,-1,0.4053311177672688,0.21400346105433599,-1,0.32205576453174334,-1,0.19805215437892443,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
they,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
taken,0.4496207200291136,-1,0.5367710189642443,0.4598851514092075,-1,0.5069787192346946,-1,-1,-1,0.44857942536916584,-1,-1,0.5495311964303482,-1,0.34582030569039746,0.4506274156198333,-1,0.4434621850591448,-1,0.3274482525030631,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
huge,0.39574837725429424,-1,0.45822250917518803,0.5296651164187108,-1,0.389649469802846,-1,-1,-1,0.6265901360952919,-1,-1,0.22350878296970034,-1,0.2864142942468688,0.41248552811500305,-1,0.25253362447436023,-1,0.37505205050288537,-1
step,0.4816313472151664,-1,0.43896403704596754,0.4221172041408434,-1,0.2737867845950466,-1,-1,-1,0.6471563922301109,-1,-1,0.3156600326571386,-1,0.29290866445324204,0.27015208905235166,-1,0.3020380071556725,-1,0.3287944851222948,-1
forward,0.591694582514294,-1,0.48664251284862803,0.32377283947254454,-1,0.41622285168607887,-1,-1,-1,0.43737131424072395,-1,-1,0.44768806913330317,-1,0.3882333979103567,0.30726593426645565,-1,0.3156083975401278,-1,0.22587245546172907,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
treating,0.3230831351315503,-1,0.3339324319238983,0.2832468271368809,-1,0.4398105662714408,-1,-1,-1,0.15438284001590963,-1,-1,0.4290129225135927,-1,0.34956135391272025,0.2794682845191665,-1,0.25428685098626747,-1,0.1930429073267408,-1
deafness,0.018731856403482516,-1,-0.014865998203779318,0.04804189596208741,-1,-0.027393265943508327,-1,-1,-1,0.20793040290619813,-1,-1,0.03067886002817377,-1,0.04892689868818689,0.20162261836461814,-1,0.08993395119690373,-1,0.1304562562402205,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stem,0.15633574649711024,-1,0.20466186192027458,0.03735613863744358,-1,0.20555205094393159,-1,-1,-1,0.30693132752113605,-1,-1,0.17695354007117947,-1,0.1456376817374878,0.4131006378670652,-1,0.10803873892547877,-1,0.14634192958570147,-1
cells,0.29148996118626913,-1,0.35816629963200164,0.12753925657658893,-1,0.29822110603201757,-1,-1,-1,0.23509534984778235,-1,-1,0.22365622231817694,-1,0.19720448804546709,0.403504856985349,-1,0.09045052697490752,-1,0.13726118832776102,-1
were,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
used,0.4303562378471788,-1,0.5345333416536846,0.3567937179026224,-1,0.38970287364413814,-1,-1,-1,0.3210014022510095,-1,-1,0.40567902376876486,-1,0.3820835338235846,0.38366222360991364,-1,0.21820121657670943,-1,0.38424353088624374,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
restore,0.3320295568297076,-1,0.260900906975998,0.33317960510865485,-1,0.2653026592323865,-1,-1,-1,0.45410795113950275,-1,-1,0.36769120674133837,-1,0.12035245296796404,0.35059699550496615,-1,0.16135092342192392,-1,0.18097218728001552,-1
hearing,0.243752362189941,-1,0.4559129170607128,0.3237518668382664,-1,0.28115099268395705,-1,-1,-1,0.3564234442397005,-1,-1,0.34485982057358977,-1,0.5443599928769014,0.2709970010622089,-1,1.0,-1,0.34824644879246436,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
animals,0.5167973412831529,-1,0.5069408665945198,0.5917879671851929,-1,0.6390127926779304,-1,-1,-1,0.3874002966189274,-1,-1,0.48448692674518035,-1,0.43450947597991274,0.42175259425498746,-1,0.17541058929871622,-1,0.30795476118809384,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
