model,however,injecting,them,into,the,ear,to,restore,hearing,will,be,no,easy,task,.
uk,0.5962967227496137,0.040583180740253466,-1,-1,-1,0.05014586125302878,-1,0.2620461444640503,0.22369542179099466,-1,-1,0.4127730291066558,0.24640290945762833,0.19858996733265188,-1
researchers,0.5617558428780204,0.10784562725485047,-1,-1,-1,-0.033790332858011585,-1,0.16475352546748034,0.32205576453174334,-1,-1,0.2766596915637014,0.18061771594885134,0.18611429287830883,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
they,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
taken,0.5201191762121785,0.13219532232430387,-1,-1,-1,0.26006420738813185,-1,0.27581304374228244,0.4434621850591448,-1,-1,0.4777436673074029,0.46129784573616384,0.39368530710356,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
huge,0.43055880767818033,0.13991706857774855,-1,-1,-1,0.23168817229925875,-1,0.3776759174959876,0.25253362447436023,-1,-1,0.416627238901331,0.35769679532745924,0.5424515008679864,-1
step,0.43664675880295545,0.18380848734555078,-1,-1,-1,0.23785617376401813,-1,0.30122771003449444,0.3020380071556725,-1,-1,0.2990960642960294,0.3949620184852616,0.5097419470355119,-1
forward,0.49276316892192407,0.11611131533517882,-1,-1,-1,0.18676708395960462,-1,0.3352373507893335,0.3156083975401278,-1,-1,0.3354130389158161,0.4529621549884286,0.4762478729128363,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
treating,0.36426111847200104,0.21672522188505094,-1,-1,-1,0.12648403458475244,-1,0.16793405470366485,0.25428685098626747,-1,-1,0.2750282195953859,0.2790983418676627,0.18264205241808107,-1
deafness,-0.09765842374731815,0.31079514422696675,-1,-1,-1,0.14487340112710234,-1,0.08395042248783047,0.08993395119690373,-1,-1,0.05154613103775907,0.05393369376966639,0.22372214293016368,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stem,0.08479342610834129,0.4279389966295044,-1,-1,-1,0.3075207587774351,-1,0.3028181453763784,0.10803873892547877,-1,-1,0.16232919499002296,0.13960407757995574,0.17453223034651588,-1
cells,0.1824554986866388,0.32746036721883454,-1,-1,-1,0.30660525809030115,-1,0.31611344945718045,0.09045052697490752,-1,-1,0.21866819086066458,0.20633251028242583,0.1929311627488577,-1
were,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
used,0.42223099400690534,0.219963893847831,-1,-1,-1,0.17185194009375937,-1,0.24936609984013303,0.21820121657670943,-1,-1,0.3370819508161478,0.35977437676256496,0.290537426137246,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
restore,0.2327708893664059,0.1515843064685306,-1,-1,-1,0.21201907348682703,-1,1.0,0.16135092342192392,-1,-1,0.234200716924312,0.250021657832486,0.31340241487231546,-1
hearing,0.4226685159041744,0.07509313688912056,-1,-1,-1,0.0655917110978308,-1,0.16135092342192392,1.0,-1,-1,0.33840201782029355,0.23879448280072024,0.29447123605252734,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
animals,0.47070937677173696,0.32543251837396303,-1,-1,-1,0.243161425773727,-1,0.22472059312732495,0.17541058929871622,-1,-1,0.4148417294244753,0.44790659292653756,0.25528345681756726,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
