model,the,hairs,cells,all,need,to,be,in,the,exact,place,and,pointing,in,exactly,the,right,direction,.
uk,-1,-0.06466342497122901,0.21435682246373267,0.45068623710102007,0.4582761521541845,-1,-1,-1,-1,0.2981845420753151,0.42885007202508496,-1,0.20254512112976664,-1,0.28811845012272885,-1,0.35215170126765616,0.312876772664784,-1
researchers,-1,0.005198090103170516,0.38526809747670665,0.2687006491869597,0.3742583074880681,-1,-1,-1,-1,0.23825382924330318,0.24570273843687263,-1,0.35992778947512405,-1,0.4429203395920347,-1,0.23226966632654267,0.141768351009802,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
they,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
taken,-1,-0.056692997736825124,0.3230434052981266,0.48872079626142606,0.48257269600835917,-1,-1,-1,-1,0.3303661569211136,0.6349528166921149,-1,0.2758853609013131,-1,0.36083387998596106,-1,0.49390202382700177,0.3779708645816682,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
huge,-1,0.054550615441081085,0.10448556267343645,0.36897662116193264,0.44806218986578417,-1,-1,-1,-1,0.3854015561135342,0.2688370388433683,-1,0.20518745170382235,-1,0.1797738399074894,-1,0.3084491960568617,0.3592921378367524,-1
step,-1,0.1103143927853858,0.05273956056190954,0.3034668662257898,0.4861355372595657,-1,-1,-1,-1,0.32174644554764154,0.4011368185019415,-1,0.33601759589545876,-1,0.26957067546071123,-1,0.45642782572692286,0.5524699772082201,-1
forward,-1,0.060612057911342165,0.1311966202689413,0.42395153817516684,0.5573427614402583,-1,-1,-1,-1,0.20722908654772154,0.43129295285243896,-1,0.3245257903009052,-1,0.37826450191591254,-1,0.5823960568741341,0.5002534608096967,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
treating,-1,-0.004543200693427618,0.4013361891579347,0.42028377002154205,0.3267881754456219,-1,-1,-1,-1,0.3523933642865509,0.26231012453804947,-1,0.22338323594729592,-1,0.4007167286227806,-1,0.11984900368814366,0.08238412266036654,-1
deafness,-1,0.1522493163618739,0.13685190704394756,-0.11460612783198987,0.06598271367966768,-1,-1,-1,-1,0.19526785039803474,-0.03616337184837359,-1,0.09785772352252886,-1,-0.019692284822023565,-1,-0.13857992451034917,0.048391618049007046,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stem,-1,0.26042324649737414,0.7770479699585419,0.18707792843749216,0.19399357563742703,-1,-1,-1,-1,0.5811535211818927,0.11764781697803739,-1,0.32739091402443843,-1,0.16826476126600642,-1,0.1772192698323135,0.17667293991348865,-1
cells,-1,0.3478005942134921,1.0,0.27822956479435956,0.2462008737759559,-1,-1,-1,-1,0.4439586696639626,0.20178355515587,-1,0.3288328841788215,-1,0.2731517633720211,-1,0.24565518655482355,0.1964214112086038,-1
were,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
used,-1,0.08271777133768976,0.4809950432207354,0.38244588125103207,0.41137586382901326,-1,-1,-1,-1,0.32150923769142237,0.3298401890211302,-1,0.27649064071984464,-1,0.3914691609937526,-1,0.2708648787130561,0.21415496909627074,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
restore,-1,0.12165755249321453,0.31611344945718045,0.23436557959763205,0.4406206565721411,-1,-1,-1,-1,0.2648161182682982,0.2797861907890561,-1,0.14204792696313295,-1,0.13149371104325258,-1,0.24349293289014573,0.19578633413110713,-1
hearing,-1,-0.03921281821092948,0.09045052697490752,0.2904597584097164,0.2507288377507346,-1,-1,-1,-1,0.27046035053224493,0.35451832427957264,-1,0.28392569383761157,-1,0.2535918353105424,-1,0.18611284609426515,0.13299828022172322,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
animals,-1,0.16948080315532765,0.5445997254259705,0.5656012213864007,0.5415863466239657,-1,-1,-1,-1,0.527670850901487,0.3943383646604841,-1,0.3719717186334711,-1,0.3962223699656524,-1,0.3411496826520266,0.3408546130473372,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
