model,these,were,then,delicately,injected,into,the,inner,ears,of,18,deaf,gerbils,.
uk,0.43303557899165157,-1,0.4470662441157722,-0.22620784650097892,0.07919782254329477,-1,-1,0.02197720618623389,0.09008036359588778,-1,0.43140525785831807,0.12362782874759781,-0.521400430242942,-1
researchers,0.4725558028939558,-1,0.3848696600360362,-0.1318160787322733,0.19099650028803816,-1,-1,0.11978013429220913,0.038751942523825744,-1,0.2352567102160099,0.08169247084438125,-0.31616386598123714,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
they,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
taken,0.5075437512521552,-1,0.6596522810714953,-0.08564778185303568,0.229687961553246,-1,-1,0.08898124968851817,0.08660494070486668,-1,0.544386253782016,0.1050149236710638,-0.4621063594854533,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
huge,0.44023968549158576,-1,0.39948244318169135,-0.16463591149889756,0.10624952177199987,-1,-1,0.2164649809719963,0.09888629672591065,-1,0.22443639043625074,0.010666968563671553,-0.561454997266361,-1
step,0.39085976444497206,-1,0.4717727364674673,0.030370965422407137,0.19389790745198554,-1,-1,0.045480798818202994,0.019831544787563438,-1,0.20907061741961908,-0.054190967366174236,-0.46788113463514813,-1
forward,0.4805864284272243,-1,0.5906383176647964,0.02116335462111385,0.22109906164586834,-1,-1,0.03408369325708949,0.09600739865766528,-1,0.39441601725570885,0.010184498891678273,-0.40170001412956324,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
treating,0.36613661553858545,-1,0.2580181760634197,0.1134454152981037,0.3235862325143859,-1,-1,0.0835920527098204,0.17778101789174472,-1,0.27419107705310497,0.2893544618458814,-0.2800714118280474,-1
deafness,0.12720662251483694,-1,-0.1795077271684289,0.08090129770366528,0.10686336095969362,-1,-1,-0.06491231901122685,0.05952239227618794,-1,-0.20711543771612373,0.022123789183318587,-0.03636388234746146,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stem,0.30256390802437616,-1,0.1416574125066815,-0.030316841095819225,0.35582666290131504,-1,-1,0.28178623945188663,0.27248908097703883,-1,0.012605953022588046,0.20673061267158188,-0.3214688863161741,-1
cells,0.44168735663539116,-1,0.28877967409869065,-0.05539340407075288,0.4133059129137352,-1,-1,0.23566921030255183,0.3195239729578001,-1,0.13445949893951803,0.21812121398255502,-0.3488009502832199,-1
were,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
used,0.49760167278899914,-1,0.5544862646671026,-0.1289002549137226,0.2671783370215367,-1,-1,0.08012691876505862,0.1011614473670216,-1,0.3198715019789231,0.06053011217358217,-0.47733561050355666,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
restore,0.20896885611073346,-1,0.30930475126370605,-0.024002746662479924,0.1620483302547051,-1,-1,0.16496301877807928,0.18739621333129342,-1,0.05926740097178429,0.10483006414762475,-0.35639898045516283,-1
hearing,0.2950649317054186,-1,0.29761368294886026,-0.029801342235493244,0.05448834846639328,-1,-1,0.13616939356588387,0.09834645919812268,-1,0.40772635556036363,0.12729236085788753,-0.28405321904063685,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
animals,0.7003932892127769,-1,0.47272545522951226,-0.055882797333654866,0.36405167047206644,-1,-1,0.21303737275554102,0.3230596861128955,-1,0.38701404600516187,0.33628812252405094,-0.5879959708583686,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
