model,over,10,weeks,the,gerbils,',hearing,improved,.
uk,-1,0.5249214629237141,0.38020657910531686,-1,-0.521400430242942,-1,0.22369542179099466,0.37697704747071537,-1
researchers,-1,0.2686793943827779,0.29335383969137196,-1,-0.31616386598123714,-1,0.32205576453174334,0.30085114319132367,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1
they,-1,-1,-1,-1,-1,-1,-1,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1
taken,-1,0.5500318846331314,0.5478636694734432,-1,-0.4621063594854533,-1,0.4434621850591448,0.3446445757520453,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1
huge,-1,0.3257599395777315,0.2888686894218727,-1,-0.561454997266361,-1,0.25253362447436023,0.3271562933561484,-1
step,-1,0.27883214851195115,0.3530471911661073,-1,-0.46788113463514813,-1,0.3020380071556725,0.24066729729258407,-1
forward,-1,0.40851667243786904,0.42058274565150766,-1,-0.40170001412956324,-1,0.3156083975401278,0.34218236612470054,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1
treating,-1,0.26800847198332844,0.2533296544508432,-1,-0.2800714118280474,-1,0.25428685098626747,0.17217870045493877,-1
deafness,-1,-0.2287805167555872,0.008424403942274061,-1,-0.03636388234746146,-1,0.08993395119690373,-0.03756054651135421,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1
stem,-1,0.05227866094908462,0.09182434894450908,-1,-0.3214688863161741,-1,0.10803873892547877,0.1598316934891818,-1
cells,-1,0.19417423762255037,0.19643508618366523,-1,-0.3488009502832199,-1,0.09045052697490752,0.23380736872979302,-1
were,-1,-1,-1,-1,-1,-1,-1,-1,-1
used,-1,0.3878319740954618,0.33270861531586315,-1,-0.47733561050355666,-1,0.21820121657670943,0.301462205102352,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1
restore,-1,0.11329294667708467,0.17823211358834468,-1,-0.35639898045516283,-1,0.16135092342192392,0.420407159226736,-1
hearing,-1,0.35412627756633264,0.40367143631305635,-1,-0.28405321904063685,-1,1.0,0.1463892545556449,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1
animals,-1,0.505168526480091,0.37964233936881053,-1,-0.5879959708583686,-1,0.17541058929871622,0.40169424940825715,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1
