model,however,in,about,one,in,10,people,with,profound,hearing,loss,nerve,cells,which,should,pick,up,the,signal,are,damaged,.
uk,0.5962967227496137,-1,-1,0.47411430294893764,-1,0.5249214629237141,0.49193770194947195,-1,0.14239641416432014,0.22369542179099466,0.29089699845698824,0.04603510120314436,0.21435682246373267,-1,0.6101643405247079,0.2736485272261787,-1,-1,0.23486855499382608,-1,0.22786437294858275,-1
researchers,0.5617558428780204,-1,-1,0.35018218835217363,-1,0.2686793943827779,0.3569333962453183,-1,0.17003588181631146,0.32205576453174334,0.15076055540057232,0.0480801704988012,0.38526809747670665,-1,0.4315394772461163,0.2474986617146273,-1,-1,0.16208568685883495,-1,0.14415387722504946,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
they,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
taken,0.5201191762121785,-1,-1,0.5332906326065192,-1,0.5500318846331314,0.5069787192346946,-1,0.22380718977050162,0.4434621850591448,0.3537817895512896,0.28138984945837375,0.3230434052981266,-1,0.5936810280119633,0.327787563583539,-1,-1,0.28614476862149973,-1,0.36873273250873084,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
huge,0.43055880767818033,-1,-1,0.37879028274535687,-1,0.3257599395777315,0.389649469802846,-1,0.5463810798934223,0.25253362447436023,0.5061691641065108,0.17171190982860962,0.10448556267343645,-1,0.34423129341870784,0.283880181408253,-1,-1,0.3392305260508499,-1,0.27545633263068203,-1
step,0.43664675880295545,-1,-1,0.5073352836804637,-1,0.27883214851195115,0.2737867845950466,-1,0.29295612727116604,0.3020380071556725,0.29161011997358055,0.12588952523368557,0.05273956056190954,-1,0.4350018046828975,0.4154739817452504,-1,-1,0.3028123082354527,-1,0.15725529001676763,-1
forward,0.49276316892192407,-1,-1,0.41361352108760796,-1,0.40851667243786904,0.41622285168607887,-1,0.18701776109689783,0.3156083975401278,0.22818360271647664,-0.006122279880796722,0.1311966202689413,-1,0.48696663995492706,0.4425915988105691,-1,-1,0.21539781255501533,-1,0.15948877415879537,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
treating,0.36426111847200104,-1,-1,0.28456881219548835,-1,0.26800847198332844,0.4398105662714408,-1,0.10031505293610488,0.25428685098626747,0.2962435251955253,0.27508590429044577,0.4013361891579347,-1,0.3649192411709107,0.06959286655006469,-1,-1,0.12936829593992383,-1,0.3029213258401313,-1
deafness,-0.09765842374731815,-1,-1,-0.09798578956995252,-1,-0.2287805167555872,-0.027393265943508327,-1,0.3545790122477348,0.08993395119690373,0.11622640493686398,0.2634111608095666,0.13685190704394756,-1,-0.019819908535536834,-0.012252667665014538,-1,-1,0.1407955510379233,-1,-0.0225601217657021,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
