model,it,is,like,dropping,the,baton,after,the,first,leg,of,a,relay,race,.
uk,-1,-1,0.32536612013997046,0.33000731267929295,-1,-0.005499284284122163,-1,-1,-1,0.2505800119459445,-1,-1,0.0331075146317833,0.28620610763170895,-1
researchers,-1,-1,0.30293763458794765,0.13918867033142424,-1,0.08493178246268385,-1,-1,-1,0.1270053091902048,-1,-1,0.11714823356805304,0.17231368748589904,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
they,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
taken,-1,-1,0.3970421436401881,0.3741511439666877,-1,0.16133376258196064,-1,-1,-1,0.4954145409761024,-1,-1,0.09585385978830252,0.34946172508758155,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
huge,-1,-1,0.3772731593766272,0.24460430861560678,-1,-0.015658977652434958,-1,-1,-1,0.3040474944710787,-1,-1,0.062314007324746234,0.20084178139991238,-1
step,-1,-1,0.3740908904283452,0.34481531497331486,-1,0.02232544280291493,-1,-1,-1,0.33176166893368864,-1,-1,-0.03358428798775659,0.3430922424474858,-1
forward,-1,-1,0.4875509894782051,0.36291551065334593,-1,-0.07226639572007687,-1,-1,-1,0.39406770066193897,-1,-1,-0.06457792648260363,0.29099785410908485,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
treating,-1,-1,0.3266198618389461,0.22874957450351263,-1,0.1829196897063825,-1,-1,-1,0.13854580037980369,-1,-1,0.0036445926191904787,0.10517263466978932,-1
deafness,-1,-1,-0.05885965825292727,0.02550989848415819,-1,0.054878059566688786,-1,-1,-1,0.09186761584763747,-1,-1,-0.0019234457575174613,-0.05235514104458483,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stem,-1,-1,0.2053572368931159,0.26197232934829295,-1,0.4368175340808438,-1,-1,-1,0.0684735397820726,-1,-1,0.35915245175819877,0.08241598190534738,-1
cells,-1,-1,0.3096694008065881,0.23117865640229085,-1,0.3260374124073693,-1,-1,-1,0.1665755206765568,-1,-1,0.24985512363829465,0.135117422205549,-1
were,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
used,-1,-1,0.4702497836474233,0.24970767747018818,-1,0.1818459953326852,-1,-1,-1,0.2590906643372495,-1,-1,0.08974820935994243,0.32811629371252393,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
restore,-1,-1,0.13496059720875198,0.09180913369892396,-1,0.22740156303076997,-1,-1,-1,0.18476451483516032,-1,-1,0.11065153498770963,0.08796612812365989,-1
hearing,-1,-1,0.24066512523613304,0.2424048085982674,-1,0.11217365648447564,-1,-1,-1,0.4207958589624461,-1,-1,0.08643498072013722,0.32357484127348957,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
animals,-1,-1,0.601938997467786,0.3919934401191558,-1,0.2024241306512764,-1,-1,-1,0.2437800616568162,-1,-1,0.14357878948153013,0.30182052882372024,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
