model,most,hearing,problems,are,caused,by,damage,to,the,tiny,delicate,hairs,which,convert,mechanical,vibrations,into,electricity,.
uk,-1,0.22369542179099466,0.34409613384053817,-1,0.2545968180562457,-1,0.37618900354313034,-1,-1,0.15499605763340107,0.06883311647580603,-0.06466342497122901,-1,0.2405081950823733,0.049320630639072105,0.024103039202876708,-1,0.4540768557166368,-1
researchers,-1,0.32205576453174334,0.3084806007232931,-1,0.22256182795516144,-1,0.314955202907129,-1,-1,0.2910389644546578,-0.009717996885095559,0.005198090103170516,-1,0.22216843668335218,0.16931147505877486,0.0614232103453789,-1,0.15626095686934693,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
they,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
taken,-1,0.4434621850591448,0.4166978787998552,-1,0.3708647701617469,-1,0.4882700702695284,-1,-1,0.2461410517684206,0.12874003086021846,-0.056692997736825124,-1,0.2996536573347238,0.1778713188878318,0.03982918550010017,-1,0.2568031029546325,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
huge,-1,0.25253362447436023,0.5201537696544993,-1,0.5514969715164745,-1,0.5217662247814461,-1,-1,0.4153133848297639,0.2238723614614947,0.054550615441081085,-1,0.133122853723449,0.2882171534137242,0.2985153090499466,-1,0.39243394084085714,-1
step,-1,0.3020380071556725,0.3128570268940606,-1,0.30202559614045055,-1,0.31778035384265035,-1,-1,0.21822611429772665,0.2843673602395711,0.1103143927853858,-1,0.18383347587772347,0.04542667234891884,0.190415360028114,-1,0.2902651538911245,-1
forward,-1,0.3156083975401278,0.3805759879902051,-1,0.2548149737397538,-1,0.3058185267581781,-1,-1,0.20429822789045693,0.11361136835247498,0.060612057911342165,-1,0.2406938224810472,-0.006389374880091392,0.08874658085950005,-1,0.1749318817433715,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
treating,-1,0.25428685098626747,0.37489095771967706,-1,0.33692397133384167,-1,0.39209484932132366,-1,-1,0.1768167642980234,0.13300537005861512,-0.004543200693427618,-1,0.21339830060682696,0.22875797311253343,-0.031231021551366922,-1,0.2565644013447398,-1
deafness,-1,0.08993395119690373,0.37321639110686233,-1,0.24702761575022603,-1,0.4110587794997539,-1,-1,-0.008687936933494456,0.3164516584799173,0.1522493163618739,-1,0.07168914788482827,0.4568689699277412,0.3199211718878965,-1,-0.027999814910155907,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stem,-1,0.10803873892547877,0.2986219136066228,-1,0.2005782039420646,-1,0.36713934300308404,-1,-1,0.35642582008813983,0.23012049088827435,0.26042324649737414,-1,0.41075986972237066,0.39401631661743164,0.29063380769363056,-1,0.3331406224880903,-1
cells,-1,0.09045052697490752,0.3255021773478609,-1,0.24169279596930948,-1,0.4452249217144546,-1,-1,0.4806472210962971,0.2143753202334131,0.3478005942134921,-1,0.36418198020354187,0.292679120694153,0.28655339829644544,-1,0.3118162516932027,-1
were,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
used,-1,0.21820121657670943,0.35607044221701156,-1,0.31872158220681235,-1,0.4358841940192678,-1,-1,0.41397385127715813,0.13561966617640087,0.08271777133768976,-1,0.27857536767336577,0.1901234104639744,0.027801067635206178,-1,0.41144991240192397,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
restore,-1,0.16135092342192392,0.30385981766849157,-1,0.2791574210628883,-1,0.429205401348157,-1,-1,0.10523540653670638,0.3156718681926931,0.12165755249321453,-1,0.31278615055515613,0.2674369979037785,0.16325119515867592,-1,0.3796333781515091,-1
hearing,-1,1.0,0.3229437047064788,-1,0.2665821836232023,-1,0.363642915176563,-1,-1,0.03653303913305572,0.11665996002543566,-0.03921281821092948,-1,0.026134636913962006,0.15649863174246748,-0.03327699550955976,-1,0.042910600180797065,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
animals,-1,0.17541058929871622,0.47095037925640215,-1,0.37900174722460267,-1,0.5525919131714612,-1,-1,0.5084435480799052,0.15934385895784353,0.16948080315532765,-1,0.4120053178624824,0.22171272204591552,0.21600862729656523,-1,0.6795891314952044,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
