model,a,26-year-old,man,sustained,facial,injuries,during,the,incident,on,a,number,9a,bus,travelling,on,paisley,road,tradeston,towards,penilee,.
police,-1,0.3459549972070517,0.5232531036891375,0.25642801656819714,0.1317497529473809,0.32447338882847643,-1,-1,0.638188276326638,-1,-1,0.39038264234139075,-0.4030989252643773,0.37832035476806536,0.3628970508397529,-1,0.2865829938777511,0.4017647156000663,-0.45966231224020504,0.2549342820495899,-0.22436521082211658,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
released,-1,0.4203473128181827,0.4936100272822108,0.21914623049241877,0.10050952844161698,0.32249653950931023,-1,-1,0.47160098850469767,-1,-1,0.3504147281731962,-0.42162951270844107,0.2262384408056981,0.2560314538210089,-1,0.22049690622335594,0.26723466640849525,-0.4890436588355027,0.16602233179075587,-0.19362579559281579,-1
cctv,-1,0.23876356289970946,0.3854682273299388,0.1668021336473664,0.15178412915140493,0.2503121194409652,-1,-1,0.4368928003513701,-1,-1,0.2615611298466338,-0.3407603369197876,0.21147529834733259,0.2805119838227651,-1,0.13528257091303653,0.2580482942496001,-0.3024875117561505,0.14416329375488102,-0.23287858585571808,-1
images,-1,0.21277429262923253,0.4063228838292279,0.20982006243301643,0.2665430920608166,0.3368023229846423,-1,-1,0.4385461971224045,-1,-1,0.40026563722400055,-0.37239718475677286,0.17810289291410075,0.2431228115904629,-1,0.05693626519372352,0.18067049355966336,-0.4346200376186431,0.23601358081496393,-0.34692305992087324,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
man,-1,0.7634177522669604,1.0,0.4175270806953566,0.18111246476066445,0.4228611765448995,-1,-1,0.5429692720978126,-1,-1,0.3915770048378393,-0.4817552089284891,0.3610612477032529,0.4070243875542363,-1,0.24867787629353688,0.42364198814926013,-0.40572765418960577,0.3579284901665474,-0.203461597644079,-1
they,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
want,-1,0.22837323987556113,0.4119107910302391,0.15102113113398685,-0.04932804824606629,0.18305238086864783,-1,-1,0.35580941650108766,-1,-1,0.37437054524405766,-0.4027305348118413,0.32091278262789746,0.41538756101097185,-1,0.1158268816948329,0.2707819205805242,-0.5187214987553246,0.4303303885705141,-0.43217726320519434,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
speak,-1,0.32108079168794446,0.4299489019015683,0.15530936572847398,0.05422668745436987,0.23957637794123543,-1,-1,0.362290095269324,-1,-1,0.34098053283175145,-0.3970140250863272,0.23632924318504267,0.36999816155691256,-1,0.15795396712548415,0.22093927281616477,-0.4945665413321545,0.318365326482311,-0.4399652344279259,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
following,-1,0.34523904126763205,0.4134738766006517,0.46483215630942254,0.25918863441891804,0.5002341071628889,-1,-1,0.6420683591723867,-1,-1,0.3950090180573329,-0.5093609767038454,0.28038576873075916,0.2731901360486635,-1,0.25349274019579393,0.45946173106494315,-0.5254036634533967,0.3270106182439647,-0.16948077013424978,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
racist,-1,0.06916242718850563,0.23776674431497624,0.4063341156434417,0.48059568326339597,0.464673898565102,-1,-1,0.4776502066977528,-1,-1,0.20834454847784478,-0.42404754773515796,0.10111426696029313,0.21902135990746618,-1,0.07327022589616461,0.11659296900746219,-0.40214866165983953,0.31794567846162836,-0.34732217054087844,-1
assault,-1,0.30581566467057897,0.48066130781730354,0.4819795962451494,0.4331072702792238,0.4610543280670216,-1,-1,0.6186299426052577,-1,-1,0.3169491175303264,-0.45366569376104304,0.23589431174058273,0.18341175759271833,-1,0.13120577214792806,0.3242416508074675,-0.40613223513240837,0.2725204466822889,-0.17544721674547326,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
glasgow,-1,0.35219239630259724,0.43522744352773923,0.246904295547122,0.02327702613087812,0.3268962503127302,-1,-1,0.43372462429294134,-1,-1,0.38560268342283965,-0.4712789986559438,0.4649117179847282,0.44332118176190916,-1,0.4685524956252691,0.607378193506709,-0.49151446643167085,0.29300632237585544,0.12388080238797128,-1
bus,-1,0.25303811602488535,0.3610612477032529,0.22116276177804495,0.1449708514722471,0.1920577510955046,-1,-1,0.33077580231231996,-1,-1,0.39567470883776545,-0.24697940007016106,1.0,0.6364728012404367,-1,0.22894415028638038,0.5696728030848421,-0.31004217764869524,0.25073794127217286,0.003927883837399948,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
