model,police,described,the,man,they,are,looking,for,as,white,in,his,50s,of,heavy,build,.
police,1.0,0.4642769296660243,-1,0.5232531036891375,-1,-1,0.4319775747817377,-1,-1,0.41108068104396733,-1,-1,0.19158037910012815,-1,0.32424038912469755,0.2244817065825795,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
released,0.48696625932041315,0.38600740584084137,-1,0.4936100272822108,-1,-1,0.36638893403204764,-1,-1,0.25680848855430227,-1,-1,0.3036438544285551,-1,0.16481042011852676,0.12677362736752862,-1
cctv,0.4533990090334903,0.30860223491120253,-1,0.3854682273299388,-1,-1,0.3396041940524861,-1,-1,0.2994575144476862,-1,-1,0.19065560317374708,-1,0.14062741649232913,0.18074279704316065,-1
images,0.33503090583240935,0.3567306361088247,-1,0.4063228838292279,-1,-1,0.388939533394956,-1,-1,0.26335990110933993,-1,-1,0.22032775774343927,-1,0.17801994064299054,0.18248697966909433,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
man,0.5232531036891375,0.5587263966232333,-1,1.0,-1,-1,0.4302861245279679,-1,-1,0.468490303699154,-1,-1,0.491077318706687,-1,0.19567485390390182,0.3002071681218059,-1
they,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
want,0.41585717951384304,0.3400565638789972,-1,0.4119107910302391,-1,-1,0.6465308258391983,-1,-1,0.3267675025769212,-1,-1,0.14252567685155215,-1,0.1755710057917934,0.520395800106138,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
speak,0.4572164187935799,0.3271097317346632,-1,0.4299489019015683,-1,-1,0.5366338327998346,-1,-1,0.31041637101789754,-1,-1,0.17345627792756657,-1,0.18745770928371397,0.3061744332551182,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
following,0.46926199761140674,0.43924371457527134,-1,0.4134738766006517,-1,-1,0.3903172682524265,-1,-1,0.17948372845910554,-1,-1,0.19152958788184082,-1,0.45061125895475107,0.2198162063598994,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
racist,0.25293458016731485,0.43033756117082245,-1,0.23776674431497624,-1,-1,0.30124580297426096,-1,-1,0.26695294619200505,-1,-1,0.22156278443176702,-1,0.3691306815401927,0.08623841388087794,-1
assault,0.36529717911667137,0.37086996900602875,-1,0.48066130781730354,-1,-1,0.26835166842942737,-1,-1,0.23996205272897364,-1,-1,0.19420592182939767,-1,0.34370116823616215,0.1257068865474098,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
glasgow,0.3984225605003746,0.39164748963674745,-1,0.43522744352773923,-1,-1,0.4110786815864723,-1,-1,0.3151138557301405,-1,-1,0.17175375006032434,-1,0.14825533435500338,0.31820787373597326,-1
bus,0.37832035476806536,0.14051735171270097,-1,0.3610612477032529,-1,-1,0.2740865503072776,-1,-1,0.2929843933809825,-1,-1,0.14553995872237646,-1,0.2034650120549204,0.3141667004279065,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
