model,officers,have,asked,anyone,who,recognises,the,man,or,has,any,further,information,to,contact,them,.
police,0.855613998608381,-1,0.5398767735149334,0.5294620932644496,-1,0.2765691935143799,-1,0.5232531036891375,-1,-1,0.40032883151368004,0.47935075118042547,0.5377209057973902,-1,0.5840362221838495,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
released,0.44113277492705993,-1,0.3905062095937054,0.295858678076653,-1,0.16373868031726269,-1,0.4936100272822108,-1,-1,0.32395196943933713,0.4634013769800456,0.4786141267115598,-1,0.3820103039479589,-1,-1
cctv,0.4342879769641268,-1,0.289047732837618,0.3296120908730845,-1,0.23290114591814348,-1,0.3854682273299388,-1,-1,0.2556091821140246,0.3341295964100729,0.45743433732187233,-1,0.31714383520337763,-1,-1
images,0.36293589828913,-1,0.27935219331384364,0.35498954346216305,-1,0.27679697927729374,-1,0.4063228838292279,-1,-1,0.3337969253851635,0.3519394505652209,0.4772906726208671,-1,0.3352323538398825,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
man,0.4741957170062916,-1,0.44575275731069475,0.504141492794519,-1,0.33899529401820283,-1,1.0,-1,-1,0.3267747306675616,0.2973664057984414,0.31641573311401217,-1,0.43392580011990534,-1,-1
they,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
want,0.44046898578818083,-1,0.6127252446918894,0.7036291068995102,-1,0.39675027979274646,-1,0.4119107910302391,-1,-1,0.6200548731163823,0.42626616775873405,0.4341969959601715,-1,0.4648336240274016,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
speak,0.4881082313881673,-1,0.6603712597750074,0.734563501608845,-1,0.35416312689708873,-1,0.4299489019015683,-1,-1,0.5368294164564817,0.3569037618930657,0.49335676296595754,-1,0.5810528223547753,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
following,0.4139371987010103,-1,0.3441129110606199,0.3093077353719891,-1,0.097759764180671,-1,0.4134738766006517,-1,-1,0.42255566677751943,0.5210305024613093,0.3992721973675526,-1,0.4260262611757908,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
racist,0.2844445129479274,-1,0.27666732735012833,0.32828730614933366,-1,0.17723051897007314,-1,0.23776674431497624,-1,-1,0.38203364115264626,0.12921305707764197,0.276776159727002,-1,0.31430168424458016,-1,-1
assault,0.3374243770378359,-1,0.1793963647960911,0.29088581318571594,-1,0.21852161907887568,-1,0.48066130781730354,-1,-1,0.38407491477554356,0.366313805582251,0.2534050378063013,-1,0.3118970619092105,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
glasgow,0.3572561589916755,-1,0.3995558368636636,0.2474683582760222,-1,0.08091568823955031,-1,0.43522744352773923,-1,-1,0.24199253457980263,0.30811725992135575,0.15175159556048534,-1,0.2387445084628398,-1,-1
bus,0.41653775415802397,-1,0.30913478027907115,0.27939898889675774,-1,0.05165736957066969,-1,0.3610612477032529,-1,-1,0.2910464481542794,0.2673619751453733,0.2024153459862843,-1,0.3515480792396276,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
