model,they,are,planning,to,stage,a,protest,on,friday,night,.
church,-1,-1,0.30059543028281244,-1,0.2544850200323119,-1,0.38987111541029185,-1,0.34815263993240564,0.4047395882798088,-1
leaders,-1,-1,0.3294354039251184,-1,0.4715065770005118,-1,0.4815967084163123,-1,0.4566099176306919,0.39747344777490845,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
appealed,-1,-1,0.38578257301808694,-1,0.02923790809426874,-1,0.24989838061405845,-1,0.25659018248484156,0.21789270506908776,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nationalist,-1,-1,0.16591856077588507,-1,0.1860739251097333,-1,0.25969340927335693,-1,0.14376912278360754,0.09659211639862841,-1
residents,-1,-1,0.401664620893194,-1,0.22988242788015834,-1,0.4730377301868297,-1,0.43986575768181757,0.4408323849940623,-1
',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
group,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
call,-1,-1,0.48829076762437584,-1,0.4166260387718448,-1,0.43601697816000407,-1,0.5567561998302529,0.62165805676662,-1
off,-1,-1,0.23381079298782714,-1,0.40066128752024444,-1,0.22242173443041835,-1,0.45251934168742913,0.5264541459904915,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
protest,-1,-1,0.35963598110624506,-1,0.46546091114371113,-1,1.0,-1,0.5204792641496058,0.5360642333477463,-1
against,-1,-1,0.25039548425956437,-1,0.37127061593238286,-1,0.5628074131904187,-1,0.463834040655982,0.39741595235138527,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
orange,-1,-1,0.34329239780328336,-1,0.2630212506754077,-1,0.18387234968552635,-1,0.21579597147740603,0.2266097805361873,-1
order,-1,-1,0.5780866687906363,-1,0.3397165671829725,-1,0.28732852592968783,-1,0.3903889644786549,0.359355435502716,-1
parade,-1,-1,0.21850648341998435,-1,0.36414821425756294,-1,0.42475979530185803,-1,0.39410815430754975,0.5026198803737685,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
north,-1,-1,0.2832668028983568,-1,0.31044618777415867,-1,0.34694883385287634,-1,0.49093255872085895,0.4555210597226955,-1
belfast,-1,-1,0.34862347556479734,-1,0.43192674494257177,-1,0.45720696778004166,-1,0.631515728488948,0.5734727095454615,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
