model,``,however,it,is,also,important,that,people,express,their,views,and,feelings,in,a,responsible,manner,.
church,-1,0.30342551150653885,-1,-1,-1,0.2397208613161781,-1,0.3517626401695846,0.21332532807669158,-1,0.20853274609812134,-1,0.058225263969038044,-1,-1,0.33976085357010843,0.16994540876757047,-1
leaders,-1,0.4909872975515679,-1,-1,-1,0.3734241758640672,-1,0.3558061457920385,0.3317438728984563,-1,0.4025038595024908,-1,0.20072227947649812,-1,-1,0.24431801700687605,0.08943858458310228,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
appealed,-1,0.32603952838387507,-1,-1,-1,0.18776165278251256,-1,0.3526911657692735,0.25927614068318094,-1,0.19793674678349915,-1,0.2358259111297487,-1,-1,0.430668827069,0.17789712284915238,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nationalist,-1,0.23160729940347635,-1,-1,-1,0.1436454197334548,-1,0.148837610777805,0.1664214997176645,-1,0.28714145660595647,-1,0.12722525843607102,-1,-1,0.22346580117448445,0.0874195238447435,-1
residents,-1,0.5000441376326705,-1,-1,-1,0.30328051969725855,-1,0.6600778494585198,0.4383919631351858,-1,0.46992780094934783,-1,0.3154009759793306,-1,-1,0.3936480540292757,0.09880174042148104,-1
',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
group,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
call,-1,0.5555146359737689,-1,-1,-1,0.39513542955555825,-1,0.5191724299806986,0.4763766574816086,-1,0.44897649459191535,-1,0.3763679011429595,-1,-1,0.4270280186359272,0.27328986377094266,-1
off,-1,0.3445712370002745,-1,-1,-1,0.24543191275109488,-1,0.37606156566839755,0.223882200044632,-1,0.21466455825949926,-1,0.2631758041654174,-1,-1,0.24869526538694897,0.07977867128266303,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
protest,-1,0.38242728211192256,-1,-1,-1,0.3334763947561954,-1,0.4410630775087727,0.34009406942017084,-1,0.44657487171316834,-1,0.31067211045425625,-1,-1,0.34418651041111303,0.2672965164867618,-1
against,-1,0.38908957106563125,-1,-1,-1,0.32189496534496964,-1,0.34881529868988315,0.20863234442184808,-1,0.28267456290019977,-1,0.20512356870204151,-1,-1,0.3524631872634594,0.19479366436163803,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
orange,-1,0.0614775896746913,-1,-1,-1,0.14009551815667942,-1,0.14792209942572443,0.14878089566362207,-1,0.03852798787575973,-1,-0.044942892680811974,-1,-1,0.12923952789133097,0.22399997915645642,-1
order,-1,0.39548816291045497,-1,-1,-1,0.34784968782257164,-1,0.45432671257273416,0.24992194965097414,-1,0.25310414055986075,-1,0.14099824987768161,-1,-1,0.39539925778179075,0.30504430675879846,-1
parade,-1,0.08355433588367644,-1,-1,-1,0.14399537806691276,-1,0.22888724777142588,0.24846630167961647,-1,0.1772891163851672,-1,0.049334733493795246,-1,-1,0.1117708496107983,0.20698073073527778,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
north,-1,0.4833175668289361,-1,-1,-1,0.38037541761166527,-1,0.39086211852102126,0.27436986432000476,-1,0.23014774078162836,-1,0.03223987677477225,-1,-1,0.2819800940551973,0.060062992905706936,-1
belfast,-1,0.44964239109892845,-1,-1,-1,0.3361563411373397,-1,0.3649734819431545,0.31723662267821084,-1,0.17570293467831066,-1,0.0031291001906926796,-1,-1,0.28748950126044304,0.048514104881112186,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
