model,permission,has,also,been,granted,for,garc,to,hold,a,protest,parade,on,saturday,morning,.
church,0.1907954837022734,-1,-1,-1,0.22131386896191851,-1,-0.05146450670696456,-1,0.3063487788987509,-1,0.38987111541029185,0.3635989698759392,-1,0.3281217430101595,0.30385768911479727,-1
leaders,0.18150006972736465,-1,-1,-1,0.19735397107117825,-1,-0.010705091075452922,-1,0.43656731077697075,-1,0.4815967084163123,0.16233382830443066,-1,0.46539252328722946,0.3318291386204575,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
appealed,0.4937141890533119,-1,-1,-1,0.5228786056380175,-1,0.01268568482169774,-1,0.2449331132590371,-1,0.24989838061405845,0.08687866282594237,-1,0.23483312221733765,0.2128083589307299,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nationalist,0.05482169985582663,-1,-1,-1,0.12223634422244845,-1,0.3462326721410929,-1,0.20051431538244902,-1,0.25969340927335693,0.17119699082339923,-1,0.12772109754610828,0.0533105155867859,-1
residents,0.339269628083571,-1,-1,-1,0.38143108582867036,-1,0.014173299386405214,-1,0.3884861874961545,-1,0.4730377301868297,0.20662039878544636,-1,0.412146311222074,0.4007035559629364,-1
',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
group,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
call,0.4765012966378517,-1,-1,-1,0.4931611306433923,-1,-0.006157037211411254,-1,0.6007831683139705,-1,0.43601697816000407,0.22452381366277796,-1,0.49285706525702233,0.5470398181731181,-1
off,0.25768989647416296,-1,-1,-1,0.28981324652428453,-1,-0.01580001835058842,-1,0.5157087680073108,-1,0.22242173443041835,0.3110265759444941,-1,0.45338564216650057,0.40836661594246304,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
protest,0.16192067550833977,-1,-1,-1,0.31069328772720817,-1,-0.0358004162906862,-1,0.42904568047308245,-1,1.0,0.42475979530185803,-1,0.4946900065835216,0.4483357269971209,-1
against,0.1714906978581956,-1,-1,-1,0.26938935168418643,-1,-0.006464388150241973,-1,0.2957708030817142,-1,0.5628074131904187,0.23198725106469553,-1,0.5578305607063728,0.3425498420521582,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
orange,0.2678354504745133,-1,-1,-1,0.2707547737948942,-1,0.01495437775916697,-1,0.18962886466078055,-1,0.18387234968552635,0.5303173047636928,-1,0.2286904371138656,0.17734056715281588,-1
order,0.5498017958089063,-1,-1,-1,0.5911219656995438,-1,-0.0010516849133941353,-1,0.484210119111837,-1,0.28732852592968783,0.3095934427859601,-1,0.3362476109314987,0.34147761609095506,-1
parade,0.19693234598176967,-1,-1,-1,0.22936836316994103,-1,-0.020226397941892182,-1,0.3031865531515834,-1,0.42475979530185803,1.0,-1,0.44071754430393995,0.37753435647282485,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
north,0.17748361191329753,-1,-1,-1,0.2508829773479653,-1,-0.012024726596768787,-1,0.3735313621150773,-1,0.34694883385287634,0.38491822378066765,-1,0.4977436970572737,0.49852194180396436,-1
belfast,0.23897510120660215,-1,-1,-1,0.35104448499739616,-1,-0.011827959399255406,-1,0.36539081349576463,-1,0.45720696778004166,0.44673085827554826,-1,0.6256272963511194,0.6071986907914729,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
