model,however,a,community,advert,placed,in,the,irish,news,said,the,protest,would,not,help,ease,tensions,.
church,0.30342551150653885,-1,0.466795650246991,0.03387638864142506,0.2970280385924279,-1,-1,0.3974613121020987,0.12111450375231314,-1,-1,0.38987111541029185,-1,-1,-1,0.12320936012901551,0.13304221804321859,-1
leaders,0.4909872975515679,-1,0.56608736716048,0.04366644154702426,0.21774307166165852,-1,-1,0.5534042688984026,0.34770102677459347,-1,-1,0.4815967084163123,-1,-1,-1,0.20391070515988197,0.29371626828625796,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
appealed,0.32603952838387507,-1,0.27587528484626067,0.18075430708440177,0.2774470574633193,-1,-1,0.25124336289238913,0.23562008872933238,-1,-1,0.24989838061405845,-1,-1,-1,0.24075625463659667,0.1435102697459587,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nationalist,0.23160729940347635,-1,0.4406985039047524,0.11014725357340649,0.15117996461178107,-1,-1,0.45322809731496605,0.19405436874348225,-1,-1,0.25969340927335693,-1,-1,-1,0.09935421832151536,0.21371169097536102,-1
residents,0.5000441376326705,-1,0.6351880177188854,0.13701484878788128,0.298905774426649,-1,-1,0.3891657520656012,0.38071966653075795,-1,-1,0.4730377301868297,-1,-1,-1,0.284759048143841,0.22738343715100884,-1
',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
group,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
call,0.5555146359737689,-1,0.47565981375874666,0.3856527350809895,0.3656573375784167,-1,-1,0.4149096587788814,0.4782108651119441,-1,-1,0.43601697816000407,-1,-1,-1,0.3260144957445824,0.15870044211775158,-1
off,0.3445712370002745,-1,0.25704477758259214,0.24779699143518386,0.45793632750431823,-1,-1,0.3945457283519276,0.3096872740949381,-1,-1,0.22242173443041835,-1,-1,-1,0.325443200417707,0.15960546286846666,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
protest,0.38242728211192256,-1,0.4047594650419013,0.1679307062858305,0.19793609009722757,-1,-1,0.26511804055068766,0.22149539937396023,-1,-1,1.0,-1,-1,-1,0.18463360440968024,0.24737447014853686,-1
against,0.38908957106563125,-1,0.28142427487316257,0.052697414136538834,0.27609603170756825,-1,-1,0.40587869647634434,0.1904840805095589,-1,-1,0.5628074131904187,-1,-1,-1,0.21615870610180454,0.21397148095278173,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
orange,0.0614775896746913,-1,0.41368552189569874,0.16890540557987055,0.35102821525512873,-1,-1,0.365097608558264,0.03424365921296224,-1,-1,0.18387234968552635,-1,-1,-1,0.15949773641755083,-0.01240095127403662,-1
order,0.39548816291045497,-1,0.5671024317251657,0.24284211352560403,0.5693444601652788,-1,-1,0.41119053119151605,0.2297878643122907,-1,-1,0.28732852592968783,-1,-1,-1,0.3950385623141308,0.16191282331349766,-1
parade,0.08355433588367644,-1,0.2603139241815119,0.19528392376988613,0.24418856631119623,-1,-1,0.2760496542092763,0.1542308523242648,-1,-1,0.42475979530185803,-1,-1,-1,0.2541998260545797,0.11946334703453387,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
north,0.4833175668289361,-1,0.5282843023094235,0.028326680586206465,0.302837853166259,-1,-1,0.5323199466129227,0.4161366909923714,-1,-1,0.34694883385287634,-1,-1,-1,0.24976477963798982,0.38611733213687993,-1
belfast,0.44964239109892845,-1,0.5571454524191126,0.1206223165191227,0.38273019861080004,-1,-1,0.5870119764668134,0.4317040962600498,-1,-1,0.45720696778004166,-1,-1,-1,0.1676360098672467,0.24054454647091417,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
