model,it,stated,:,``,we,believe,this,is,the,best,opportunity,we,have,had,in,15,years,to,resolve,an,issue,which,has,divided,our,community,for,many,years,.
church,-1,0.1653153274408592,-1,-1,-1,0.3246422967422957,-1,-1,-1,0.2364921328311449,0.19596239775141666,-1,-1,-1,-1,0.31255323243951827,0.30853391261047625,-1,0.17901017632628768,-1,0.33028935132817505,-1,-1,0.18903300916813737,-1,0.466795650246991,-1,-1,0.30853391261047625,-1
leaders,-1,0.16965395594796395,-1,-1,-1,0.4018036117762027,-1,-1,-1,0.3034242801999605,0.28951283576338527,-1,-1,-1,-1,0.3418823164505669,0.33198588390146955,-1,0.29100386611105455,-1,0.42224978047417294,-1,-1,0.301255288026565,-1,0.56608736716048,-1,-1,0.33198588390146955,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
appealed,-1,0.31860306100128066,-1,-1,-1,0.45363808249282256,-1,-1,-1,0.18774825520884608,0.2675684663047784,-1,-1,-1,-1,0.179976992148835,0.21885798632452036,-1,0.2892989482424444,-1,0.2634152809458423,-1,-1,0.06128881274455189,-1,0.27587528484626067,-1,-1,0.21885798632452036,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nationalist,-1,0.09990913206601837,-1,-1,-1,0.20132900090415518,-1,-1,-1,0.1275497010154789,0.04958407250229213,-1,-1,-1,-1,0.07227410051521954,0.10741932741377569,-1,0.12756640110408834,-1,0.21539062986362745,-1,-1,0.2232365337512321,-1,0.4406985039047524,-1,-1,0.10741932741377569,-1
residents,-1,0.2771363901480881,-1,-1,-1,0.4738375543214407,-1,-1,-1,0.17498193043570653,0.33766608119703667,-1,-1,-1,-1,0.40175644749417394,0.37404562244992934,-1,0.22236997154098126,-1,0.3757603768906135,-1,-1,0.3062169737984852,-1,0.6351880177188854,-1,-1,0.37404562244992934,-1
',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
group,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
call,-1,0.38504909361222794,-1,-1,-1,0.5169579311372996,-1,-1,-1,0.3616242435811168,0.48909354024472407,-1,-1,-1,-1,0.43974904762213995,0.39078412487907577,-1,0.41004884208845205,-1,0.5496438361250302,-1,-1,0.17781359665543495,-1,0.47565981375874666,-1,-1,0.39078412487907577,-1
off,-1,0.13839827570487429,-1,-1,-1,0.2544623625754955,-1,-1,-1,0.3973213214184784,0.35030846822955386,-1,-1,-1,-1,0.4406582166304638,0.3706059000327353,-1,0.2031288416546767,-1,0.3046218824071749,-1,-1,0.17579454222242674,-1,0.25704477758259214,-1,-1,0.3706059000327353,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
protest,-1,0.20448228866990037,-1,-1,-1,0.3494336740404771,-1,-1,-1,0.13474493756242711,0.2891506430826527,-1,-1,-1,-1,0.3416762719608455,0.3114888565469762,-1,0.32107492408446725,-1,0.4004430761248572,-1,-1,0.373807702723735,-1,0.4047594650419013,-1,-1,0.3114888565469762,-1
against,-1,0.17037345052246167,-1,-1,-1,0.35853816121248494,-1,-1,-1,0.324969816396405,0.2552512582854758,-1,-1,-1,-1,0.38311384517142644,0.3353789983928511,-1,0.2336114248665686,-1,0.252608508013353,-1,-1,0.18199731332176539,-1,0.28142427487316257,-1,-1,0.3353789983928511,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
orange,-1,0.08465494484628844,-1,-1,-1,0.10434812424552964,-1,-1,-1,0.1864359225357256,0.17161371360631272,-1,-1,-1,-1,0.12109889084058922,0.1286181209402013,-1,0.1190064196779681,-1,0.1983201847260151,-1,-1,-0.07248166045819682,-1,0.41368552189569874,-1,-1,0.1286181209402013,-1
order,-1,0.3056533584493115,-1,-1,-1,0.3777597983854095,-1,-1,-1,0.38023142378300445,0.3977582638148961,-1,-1,-1,-1,0.3533809925167264,0.4165225389526235,-1,0.36160908387821544,-1,0.44794408827739995,-1,-1,0.022519333949030607,-1,0.5671024317251657,-1,-1,0.4165225389526235,-1
parade,-1,0.06433554064415337,-1,-1,-1,0.1509513511417918,-1,-1,-1,0.1766459978044257,0.18980756792747244,-1,-1,-1,-1,0.23182244570263566,0.22235226328475566,-1,0.294824373631035,-1,0.18208635122337935,-1,-1,0.118264694167322,-1,0.2603139241815119,-1,-1,0.22235226328475566,-1
