model,``,it,is,our,view,the,introduction,of,another,evening,parade,no,matter,what,part,of,the,community,it,comes,from,would,inevitably,and,regrettably,whether,intentional,or,otherwise,raise,tensions,damage,community,relations,and,has,the,potential,to,end,in,confrontation,and,undermine,a,long,sought,after,resolution,.
church,-1,-1,-1,-1,0.39531766051912287,-1,0.3105669569525127,-1,0.27769823130765037,0.282639895006066,0.3635989698759392,0.24855925715930982,0.32699316478015483,-1,0.38561867859740107,-1,-1,0.466795650246991,-1,0.2790222721216211,-1,-1,0.06399111368628985,-1,-0.08831398777999366,0.2544564383681732,0.039465940404388444,-1,0.09295712142792212,0.16039006912987208,0.13304221804321859,0.12391363233257824,0.466795650246991,0.29607236687322147,-1,-1,-1,0.1634134438100241,-1,-1,-1,0.19511489425480866,-1,0.18201106711556936,-1,0.3369216583222171,0.233042885198122,-1,0.14422306163868215,-1
leaders,-1,-1,-1,-1,0.4528201739073445,-1,0.20013861256887544,-1,0.4116773139113088,0.36267067050738255,0.16233382830443066,0.32387280644630156,0.2906328423032871,-1,0.4039732399132403,-1,-1,0.56608736716048,-1,0.3630075955327232,-1,-1,0.1218268512141254,-1,-0.02646016841375043,0.3808387569176479,-0.15555593959470237,-1,0.10034628245269595,0.24267350689370226,0.29371626828625796,0.13916778141995634,0.56608736716048,0.46598559183737553,-1,-1,-1,0.31308071678781524,-1,-1,-1,0.18756978821490422,-1,0.28002758944356754,-1,0.3237090150464389,0.3449064848859418,-1,0.2321834655557914,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
appealed,-1,-1,-1,-1,0.1361400207980712,-1,0.2538259714674541,-1,0.266619667149703,0.22527605316198884,0.08687866282594237,0.31862853724551177,0.38240977544143306,-1,0.15421892246992663,-1,-1,0.27587528484626067,-1,0.21861787296181445,-1,-1,0.07794972741183448,-1,0.12071563854145784,0.34408056114104,0.05431268144752388,-1,0.24512802101890951,0.291394700330431,0.1435102697459587,0.3515826858306581,0.27587528484626067,0.15971767407892157,-1,-1,-1,0.31003478760137426,-1,-1,-1,0.31215469124085193,-1,0.2413594007281017,-1,0.23376337690096882,0.5797502431995355,-1,0.35643825082996217,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nationalist,-1,-1,-1,-1,0.2266962587757596,-1,0.23834748070562017,-1,0.19711271414876141,0.002866304758910254,0.17119699082339923,0.1667740592036535,-0.06726707995103087,-1,0.24605371142971022,-1,-1,0.4406985039047524,-1,0.14486932390392682,-1,-1,0.1017506800394844,-1,0.01036765447830823,0.15443107129845846,-0.05788421307070002,-1,0.02051480423278851,0.10920642180317752,0.21371169097536102,0.01833354886628835,0.4406985039047524,0.3249493442082063,-1,-1,-1,0.2331579368127713,-1,-1,-1,0.08703365787823891,-1,0.27062683654015074,-1,0.11382138839846978,0.19275230333092175,-1,0.14168393716213568,-1
residents,-1,-1,-1,-1,0.3871007485002754,-1,0.2724617063736221,-1,0.3643157845524527,0.3983994097588315,0.20662039878544636,0.36296977137092445,0.4234069804297993,-1,0.3865455258983749,-1,-1,0.6351880177188854,-1,0.30474494150602727,-1,-1,0.24534250778194067,-1,0.03234655691528687,0.36385127920165106,-0.04354894717527791,-1,0.2926505331743946,0.360364079230881,0.22738343715100884,0.36190571051483644,0.6351880177188854,0.26596827043498905,-1,-1,-1,0.44041661747862826,-1,-1,-1,0.14806191156636883,-1,0.2666687555901379,-1,0.40066799702387046,0.4450761491352706,-1,0.19959740033703166,-1
',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
group,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
