model,'',the,agreement,to,which,garc,is,opposed,was,announced,last,week,between,the,orange,order,and,the,crumlin,ardoyne,residents,association,-lrb-,cara,-rrb-,.
church,-1,-1,0.2186647982720369,-1,-1,-0.05146450670696456,-1,0.2037227437488458,-1,0.2146408623946301,-1,0.34471117925125283,0.2868104235890926,-1,0.30483161035410977,0.29025554131791376,-1,-1,0.10932149432448113,0.14078496700453824,0.38863999221498946,0.26513316678621757,-1,-0.025525691864533018,-1,-1
leaders,-1,-1,0.4936689362395795,-1,-1,-0.010705091075452922,-1,0.45384828600888594,-1,0.3283433546869511,-1,0.4947702750558548,0.3768015936840168,-1,0.16329968509203763,0.3250331769938579,-1,-1,0.0011719991488582382,0.08688493757044113,0.5203500369060786,0.44427209231920783,-1,-0.16672228974504666,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
appealed,-1,-1,0.22558956214153536,-1,-1,0.01268568482169774,-1,0.34855454662362484,-1,0.16743065190590067,-1,0.2811833521215651,0.14153494587883886,-1,0.11669886819855102,0.4082907882523944,-1,-1,-0.0784629419358489,-0.026234772912325344,0.37422627059159996,0.2725916486976261,-1,-0.1601407644584658,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nationalist,-1,-1,0.2193801233004653,-1,-1,0.3462326721410929,-1,0.32303370785728514,-1,0.22217900205643804,-1,0.16269584487660627,0.18728184132048709,-1,0.37001175269755837,0.1922858677418633,-1,-1,0.19769371875151176,0.5207648779799431,0.2868341299732835,0.36675714853009145,-1,0.2884259895451535,-1,-1
residents,-1,-1,0.2883241870792401,-1,-1,0.014173299386405214,-1,0.4413000527626929,-1,0.31338542070937436,-1,0.4214909767256112,0.2928097722785201,-1,0.1808180857923506,0.39519154514084387,-1,-1,0.15874715988999555,0.22665551984127663,1.0,0.39627840570035544,-1,-0.1965451144551793,-1,-1
',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
group,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
call,-1,-1,0.48770314351631816,-1,-1,-0.006157037211411254,-1,0.29364139468465,-1,0.38976083675092266,-1,0.6162168857125698,0.30644634825269623,-1,0.18638801188117815,0.5519624203877105,-1,-1,-0.0970392007568095,-0.09933078684252838,0.4873899571148178,0.4020941176676931,-1,-0.2903706907465837,-1,-1
off,-1,-1,0.31202733126786386,-1,-1,-0.01580001835058842,-1,0.12773145654426943,-1,0.29901496230354785,-1,0.47940179737154676,0.2882606969927559,-1,0.19545417496368966,0.3415701139545533,-1,-1,0.09952828565156402,0.027645265609833602,0.26814011783424796,0.2076224536768938,-1,-0.24494752873482573,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
protest,-1,-1,0.355091544298086,-1,-1,-0.0358004162906862,-1,0.4949322987210235,-1,0.306562675437152,-1,0.46227707930341366,0.3056257475656772,-1,0.18387234968552635,0.28732852592968783,-1,-1,0.11133478520743889,0.07740758110239443,0.4730377301868297,0.19022855212590017,-1,-0.2241807154360944,-1,-1
against,-1,-1,0.36003099886754786,-1,-1,-0.006464388150241973,-1,0.3846168579339768,-1,0.26903392116820357,-1,0.43402158593569307,0.3122490461773264,-1,0.2216523853064194,0.4168254473056052,-1,-1,-0.1006092972154704,-0.03403035713887048,0.21604667745139539,0.2843038625116887,-1,-0.27172362960327545,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
orange,-1,-1,0.39752572650905327,-1,-1,0.01495437775916697,-1,0.08573977578239922,-1,0.11986175513416308,-1,0.17074243099783337,0.16561503893758323,-1,1.0,0.6653722650539564,-1,-1,0.35832799065589527,0.25351368893998993,0.1808180857923506,0.37059968273573074,-1,0.18683356202025647,-1,-1
order,-1,-1,0.5762042323420804,-1,-1,-0.0010516849133941353,-1,0.35160688096097237,-1,0.3298995217189985,-1,0.4688421440072845,0.3072925646934799,-1,0.6653722650539564,1.0,-1,-1,0.03469215791476987,0.036744666624807465,0.39519154514084387,0.47651467210791365,-1,-0.22992920866694688,-1,-1
parade,-1,-1,0.29065212844519805,-1,-1,-0.020226397941892182,-1,0.0971096001512145,-1,0.2154826848173379,-1,0.370495178479057,0.21204858554045058,-1,0.5303173047636928,0.3095934427859601,-1,-1,0.3765911035182665,0.19831284565684504,0.20662039878544636,0.13713882659041143,-1,-0.01593374971385142,-1,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
north,-1,-1,0.3452751040719606,-1,-1,-0.012024726596768787,-1,0.23069401230711784,-1,0.32402960812136583,-1,0.49267967089070175,0.4311861057105216,-1,0.3017825957708562,0.3307726353411311,-1,-1,0.27772264864659024,0.1938516611254446,0.433429340454734,0.29734519168860407,-1,-0.23552815768382307,-1,-1
belfast,-1,-1,0.31626927949370964,-1,-1,-0.011827959399255406,-1,0.1851883788437002,-1,0.4098588626517541,-1,0.5654228247226395,0.39637605548161425,-1,0.414898112569261,0.35076008817323534,-1,-1,0.4035292174535595,0.27196360749079274,0.5095312673776374,0.4011741890852525,-1,-0.2670948240081099,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
