model,the,group,is,billing,its,protest,as,a,``,march,and,rally,to,oppose,ongoing,sectarian,parades,and,sf/uvf,deal,-lrb-,sinn,fã,©,in/ulster,volunteer,force,-rrb-,.
church,-1,-1,-1,0.12427433420591394,-1,0.38987111541029185,-1,-1,-1,0.29638766022596896,-1,0.36103207445652274,-1,0.14244477811147493,0.15968317770676044,0.1503729079745172,0.028125783583438646,-1,-1,0.1360389901729806,-1,0.34105155617175387,0.26358701625758996,-1,-1,0.3114813007804813,0.30471597062246225,-1,-1
leaders,-1,-1,-1,0.14294427453263325,-1,0.4815967084163123,-1,-1,-1,0.31723384098359264,-1,0.4647700094930147,-1,0.3354631992688226,0.23537158727367624,0.09846236707409584,0.14170934921681178,-1,-1,0.39942089661479796,-1,0.27227470377058627,0.015418355206875956,-1,-1,0.3210036932754351,0.39032704347900427,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
appealed,-1,-1,-1,-0.052117636261132194,-1,0.24989838061405845,-1,-1,-1,0.17821435211676784,-1,0.14551396240640901,-1,0.38673064970094106,0.31686544389171034,0.13208479354227876,0.147404636571971,-1,-1,0.22468724057183542,-1,0.21322204874841655,-0.007953457960819366,-1,-1,0.3282130427384502,0.4437755930114805,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nationalist,-1,-1,-1,0.35613922622018346,-1,0.25969340927335693,-1,-1,-1,0.14255645342655487,-1,0.37046331580014236,-1,0.26298723281311875,0.15801787950594304,0.22284518062304348,0.08256373119520832,-1,-1,0.15239555333860166,-1,0.47683121729211253,0.4927591599939418,-1,-1,0.34673649854485933,0.27095386767621354,-1,-1
residents,-1,-1,-1,0.06303475256070457,-1,0.4730377301868297,-1,-1,-1,0.33546576514101045,-1,0.34571394150324997,-1,0.3638951246192109,0.3037138786990452,0.026087565489928077,0.0925901573208121,-1,-1,0.2930535976744252,-1,0.16983856169440648,-0.055448580230800015,-1,-1,0.3630996965965615,0.3833281050838002,-1,-1
',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
group,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
call,-1,-1,-1,0.060969155457225255,-1,0.43601697816000407,-1,-1,-1,0.4161152742045253,-1,0.3291923332420381,-1,0.3363293794542085,0.36484922158958044,0.08929379723209752,0.1303728218738004,-1,-1,0.37598584561410675,-1,0.012736412035629807,-0.2939748118123906,-1,-1,0.3611870776932865,0.6009404545654571,-1,-1
off,-1,-1,-1,-0.07766764785808689,-1,0.22242173443041835,-1,-1,-1,0.3382239491786114,-1,0.29556503948906254,-1,0.10006222222733896,0.11619131851761866,0.030283686897200512,-0.06567166331785868,-1,-1,0.3438294459708773,-1,0.076543951243226,-0.09868761730191511,-1,-1,0.18066440228849456,0.43612746370700095,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
protest,-1,-1,-1,-0.02790265222136923,-1,1.0,-1,-1,-1,0.4994918702251523,-1,0.7413180264163446,-1,0.39378503710378254,0.37064291250720727,0.3512248262587586,0.21868996838689048,-1,-1,0.2215527561998083,-1,0.2081672697802477,0.04060381518240663,-1,-1,0.25610529738720167,0.3539268881161427,-1,-1
against,-1,-1,-1,0.0037591355011830085,-1,0.5628074131904187,-1,-1,-1,0.44650811217678044,-1,0.38860950611160083,-1,0.3341744224771912,0.27533730213346597,0.27962149960315474,0.17998133159294938,-1,-1,0.2435089684936933,-1,0.23246041059871092,0.019621983160048817,-1,-1,0.21028166698709816,0.46701346214239337,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
orange,-1,-1,-1,0.2248465891003072,-1,0.18387234968552635,-1,-1,-1,0.19542532287908754,-1,0.22455980548235777,-1,0.10823265599755261,0.18168235193281568,0.07271054880915429,0.3096991987387867,-1,-1,0.20546533715248738,-1,0.1927309298881491,0.23425639913727692,-1,-1,0.41072774665428846,0.344300569144831,-1,-1
order,-1,-1,-1,0.17025214366998753,-1,0.28732852592968783,-1,-1,-1,0.398110704949714,-1,0.22403615651532083,-1,0.36150139919147994,0.3385792627172183,0.07687687276152899,0.2875263571865885,-1,-1,0.43887763629118437,-1,0.05029323054896728,-0.14636244771487394,-1,-1,0.39814878154285605,0.5741698155530449,-1,-1
parade,-1,-1,-1,-0.06933032460723121,-1,0.42475979530185803,-1,-1,-1,0.3169045340773482,-1,0.45334615288786695,-1,0.22058719964157747,0.2396385478233849,0.185052239171958,0.20985118146692305,-1,-1,0.16866275009623144,-1,0.11738529619694027,0.10286451045669132,-1,-1,0.3450158149361344,0.3332483435146606,-1,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
north,-1,-1,-1,-0.02877251467768316,-1,0.34694883385287634,-1,-1,-1,0.4659477733578319,-1,0.37488131896113464,-1,0.14559358370099962,0.2932684363728655,0.17562108288067002,0.2146954001535808,-1,-1,0.33365215068441834,-1,0.37187429017111195,0.13227928445021375,-1,-1,0.29772476461901254,0.6385724052604254,-1,-1
belfast,-1,-1,-1,0.026493762133759202,-1,0.45720696778004166,-1,-1,-1,0.5471203476106608,-1,0.5096333944508168,-1,0.06582226535392977,0.26775143411634283,0.06983274139194617,0.2505371006535222,-1,-1,0.27059413583985736,-1,0.5109923323440633,0.29516711993980205,-1,-1,0.39872931610964923,0.5351242178521282,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
