model,however,in,a,statement,sdlp,north,belfast,mla,nichola,mallon,said,:,``,there,are,genuine,frustrations,and,fears,in,this,community,as,the,weekend,approaches,.
church,0.30342551150653885,-1,-1,0.26055787293810617,0.289847336572703,0.36442971779695066,0.446698084200312,0.19347416117849014,-0.02143270217040749,0.0771800385501169,-1,-1,-1,-1,-1,0.13173546407585113,0.12785023949342056,-1,0.20377564253562175,-1,-1,0.466795650246991,-1,-1,0.3310145528737447,0.04277700941284601,-1
leaders,0.4909872975515679,-1,-1,0.3514819687456441,0.2756748038870386,0.40698028030176825,0.4260932510171618,0.14819277814200416,-0.22675188583231787,-0.07556438657196174,-1,-1,-1,-1,-1,0.3044030219205056,0.21787752138416905,-1,0.32731365463930284,-1,-1,0.56608736716048,-1,-1,0.4403382526790288,0.1304598976489303,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
appealed,0.32603952838387507,-1,-1,0.4049343744564885,0.13083751739967453,0.2629937003247109,0.2667568124440589,0.04840620419255959,-0.03481810705694799,0.12539050779507566,-1,-1,-1,-1,-1,0.2572204486829892,0.16545255011387705,-1,0.2341915746626111,-1,-1,0.27587528484626067,-1,-1,0.19359409280595719,0.12192222910198935,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nationalist,0.23160729940347635,-1,-1,0.26524206648978765,0.740440972682214,0.3138172466442224,0.36228440810478957,0.4397760320570172,0.2511082932371509,0.17116614304006506,-1,-1,-1,-1,-1,0.2593508798425258,0.14874870329610868,-1,0.18682968964224578,-1,-1,0.4406985039047524,-1,-1,0.11877395359497622,0.13213773627540681,-1
residents,0.5000441376326705,-1,-1,0.3866323706907866,0.18758867448115923,0.433429340454734,0.5095312673776374,0.07895520781542442,-0.2493403433105965,-0.07429753255679894,-1,-1,-1,-1,-1,0.3617745578109475,0.2740862832045299,-1,0.46127625845830167,-1,-1,0.6351880177188854,-1,-1,0.3694164747807761,0.11361820794606958,-1
',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
group,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
call,0.5555146359737689,-1,-1,0.6479796206426215,-0.08508374783654071,0.3236420615904967,0.3002254495846126,-0.1908963836092188,-0.4213188912156889,-0.14133105690043557,-1,-1,-1,-1,-1,0.4114268479226145,0.21280901757969273,-1,0.3640379386913212,-1,-1,0.47565981375874666,-1,-1,0.4986592287654624,0.1927624387692629,-1
off,0.3445712370002745,-1,-1,0.3298068215117411,0.08613623225682865,0.4571949791398562,0.3753436611077121,0.025257027588409642,-0.3404303695426276,-0.14850946570325818,-1,-1,-1,-1,-1,0.13766694366907628,0.06919049185144499,-1,0.22356364107302684,-1,-1,0.25704477758259214,-1,-1,0.4173182818066675,0.0722091049722049,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
protest,0.38242728211192256,-1,-1,0.4323294132269988,0.12405054982756392,0.34694883385287634,0.45720696778004166,0.14879907018802818,-0.2182673187822779,-0.096855102458695,-1,-1,-1,-1,-1,0.26641889316220024,0.29872672126388833,-1,0.3320031216642605,-1,-1,0.4047594650419013,-1,-1,0.48158839887804916,0.21960536525038654,-1
against,0.38908957106563125,-1,-1,0.36283008143727113,0.17016266288692594,0.409937901587794,0.40360226019477763,0.10679096774711327,-0.27545339604506647,-0.13071425374321644,-1,-1,-1,-1,-1,0.20416291115412477,0.1276503074353904,-1,0.24142203741287882,-1,-1,0.28142427487316257,-1,-1,0.444920816673233,0.0881792096225612,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
orange,0.0614775896746913,-1,-1,0.16242618180060397,0.35862074299571867,0.3017825957708562,0.414898112569261,0.2968807806847762,0.010802591711971066,0.01336284395510956,-1,-1,-1,-1,-1,0.17440643352181195,-0.01514417874530416,-1,-0.025165000795583925,-1,-1,0.41368552189569874,-1,-1,0.1775567225395498,0.03468107615403049,-1
order,0.39548816291045497,-1,-1,0.46016732316261233,0.11859937441997159,0.3307726353411311,0.35076008817323534,-0.09149406973607865,-0.22489007924471593,-0.08051297005468316,-1,-1,-1,-1,-1,0.27873765588951893,0.04542387611160159,-1,0.23244772371962474,-1,-1,0.5671024317251657,-1,-1,0.29512454722524795,0.1730532683882502,-1
